"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"RollScape","1716350400000","false","13415","6.99","77710","3.7521090693060652","85","Indie","Leonardo the Vinchy","Leonardo the Vinchy","2904290","https://store.steampowered.com/app/2904290",""
"HORROR TALES: The Wine","1627617600000","false","11477","11.99","77690","2.2102721533057825","80","Indie","Carlos Coronado","Carlos Coronado","1340640","https://store.steampowered.com/app/1340640",""
"[Chilla's Art] The Ghost Train | 幽霊列車","1595476800000","false","31321","2.99","77688","1.4756126449584792","80","Indie","Chilla's Art","Chilla's Art","1349960","https://store.steampowered.com/app/1349960",""
"祖玛少女/Zuma Girls","1651377600000","false","47638","2.99","77651","1.805770539912718","82","Indie","Twilight Sonata Studio","Twilight Sonata Studio","1808780","https://store.steampowered.com/app/1808780",""
"Space Company Simulator","1571889600000","true","5231","19.99","77643","3.2428715417765726","29","Indie","All in! Games","Intermarum","923970","https://store.steampowered.com/app/923970",""
"The Backrooms 1998 - Found Footage Survival Horror Game","1653451200000","true","12070","9.99","77635","2.137568133380053","87","Indie","Steelkrill Studio","Steelkrill Studio","1985930","https://store.steampowered.com/app/1985930",""
"Battle Bands: Rock & Roll Deckbuilder","1647489600000","false","6079","19.99","77624","23.535465313570874","90","Indie","Aerie Digital","Aerie Digital","1322100","https://store.steampowered.com/app/1322100","1699851600000"
"Burn Zombie Burn!","1281585600000","false","9765","9.99","77619","1.46609457383301","42","Indie","P2 Games","doublesix","50510","https://store.steampowered.com/app/50510",""
"Love Sucks: Night Two","1714104000000","false","8990","9.99","77607","7.2161820347143015","99","Indie","Critical Bliss","Art Witch Studios","1719310","https://store.steampowered.com/app/1719310",""
"LONN","1668661200000","false","5383","29.99","77595","2.5422308259988156","64","Indie","SixSense Studios","SixSense Studios","1107340","https://store.steampowered.com/app/1107340",""
"My Demonic Romance","1714536000000","true","4581","19.99","77581","3.237774015556178","80","Indie","Andrealphus Games","Andrealphus Games","2370140","https://store.steampowered.com/app/2370140",""
"The Aquatic Adventure of the Last Human","1453179600000","false","22376","9.99","77544","4.748590674173309","77","Indie","YCJY Games","YCJY Games","401360","https://store.steampowered.com/app/401360",""
"Omegalodon","1379649600000","false","20145","9.99","77528","3.5133075422728943","68","Indie","North of Earth","North of Earth","248350","https://store.steampowered.com/app/248350",""
"GUILTY GEAR","1557892800000","false","22579","9.99","77512","3.0666265048767407","85","AA","Arc System Works","Arc System Works","850980","https://store.steampowered.com/app/850980",""
"MADiSON VR","1714622400000","false","2760","34.99","77498","3.2735200390628454","79","Indie","BLOODIOUS GAMES","BLOODIOUS GAMES","2414550","https://store.steampowered.com/app/2414550",""
"Age of Survival","1440475200000","true","6397","18.99","77496","4.365102215720622","11","Indie","Silky Sullivan","Silky Sullivan","369080","https://store.steampowered.com/app/369080",""
"Interrogation: You will be deceived","1575522000000","false","9869","12.99","77494","5.475214861466157","81","Indie","Assemble Entertainment","Critique Gaming","1016770","https://store.steampowered.com/app/1016770",""
"Save Jesus","1470283200000","false","133771","1.99","77489","3.8764605692862677","90","Indie","Almighty Games","Almighty Games","509220","https://store.steampowered.com/app/509220",""
"Tech Corp.","1564027200000","true","6098","9.99","77471","4.417001750133678","34","Indie","2tainment GmbH","Mardonpol Inc.","909970","https://store.steampowered.com/app/909970",""
"Dark Rose Valkyrie","1523332800000","false","5600","19.99","77465","8.636320995479842","44","Indie","Idea Factory International","Idea Factory,Compile Heart","726950","https://store.steampowered.com/app/726950",""
"Atlas Architect","1608526800000","false","8731","5.99","77441","3.426606948506071","76","Indie","Rashidi Interactive","Danial Rashidi","1459500","https://store.steampowered.com/app/1459500","1619409600000"
"Ray’z Arcade Chronology","1695614400000","false","2152","49.99","77421","5.494951475964676","89","Indie","TAITO CORP.","M2 Co.,LTD","2478020","https://store.steampowered.com/app/2478020",""
"Dark Siren","1671166800000","false","35169","2.99","77395","2.1070277277922287","90","Indie","eTIRUe","eTIRUe","1575450","https://store.steampowered.com/app/1575450",""
"The Bad Kids","1673931600000","false","15814","7.99","77384","6.053680481730768","76","Indie","LightOn Game","Aluba Studio","2071200","https://store.steampowered.com/app/2071200",""
"Corona Blossom Vol.1 Gift From the Galaxy","1469592000000","false","14202","9.99","77383","25.624356960863025","96","Indie","Frontwing USA","Frontwing","496260","https://store.steampowered.com/app/496260",""
"Blazing Aries","1646974800000","false","6946","18.99","77315","23.468017681327517","91","Indie","OTAKU Plan","Kuroto Zakka","1658930","https://store.steampowered.com/app/1658930",""
"Infinite Minigolf","1475280000000","false","8955","14.99","77280","16.98994693190719","78","Indie","Zen Studios","Zen Studios","446550","https://store.steampowered.com/app/446550","1500955200000"
"Multiplayer Platform Golf","1709182800000","false","17205","4.99","77267","3.177291257934248","0","Indie","Robot Assembly","Robot Assembly","2263920","https://store.steampowered.com/app/2263920",""
"Mister Versatile: A Gay Superhero Visual Novel","1602820800000","false","4366","19.99","77266","7.403965554717616","89","Indie","Y Press Games","Y Press Games,Studio Kosen","1260670","https://store.steampowered.com/app/1260670",""
"Time Break Chronicles","1598932800000","true","6643","14.99","77243","34.92863880459943","93","Indie","Warrior General Games, LLC","Warrior General Games, LLC","1393500","https://store.steampowered.com/app/1393500",""
"NejicomiSimulator Vol.2 (Gapping, Amputee sex slave, Petrify, Time Stop)","1626062400000","false","4559","24.99","77241","33.80671845229215","72","Indie","やぶから堂","やぶから堂","1660990","https://store.steampowered.com/app/1660990",""
"URBO","1694577600000","false","16495","5.99","77233","7.175435157103363","95","Indie","Door 407","Door 407","2141770","https://store.steampowered.com/app/2141770",""
"Myst V: End of Ages","1331870400000","false","15134","9.99","77180","7.6320647438984235","64","Indie","Cyan Worlds Inc","Cyan Worlds Inc","208110","https://store.steampowered.com/app/208110",""
"Conglomerate 451","1558584000000","false","6720","19.99","77159","4.682663236154402","65","Indie","Fulqrum Publishing","RuneHeads","1022710","https://store.steampowered.com/app/1022710","1582174800000"
"QV","1616040000000","false","9137","14.99","77152","5.319962957465215","89","Indie","CFK Co., Ltd.","IZZLE","1494110","https://store.steampowered.com/app/1494110",""
"Nanairo Reincarnation","1569556800000","false","3733","29.99","77152","17.571722915284635","95","Indie","Sekai Project","Silky's Plus Wasabi,Silky’s Plus Alpha","751450","https://store.steampowered.com/app/751450",""
"Din's Legacy","1535760000000","false","5640","19.99","77139","34.46478603234426","77","Indie","Soldak Entertainment","Soldak Entertainment","911550","https://store.steampowered.com/app/911550","1566964800000"
"The American Dream","1521000000000","false","7184","14.99","77136","2.0359074553256593","69","Indie","Samurai Punk","Samurai Punk","456180","https://store.steampowered.com/app/456180",""
"Really Big Sky","1330059600000","false","32551","4.99","77117","2.5853929975536754","75","Indie","Ripstone","Boss Baddie","201570","https://store.steampowered.com/app/201570",""
"rymdkapsel","1391058000000","false","21238","7.99","77113","7.765823490631249","82","Indie","grapefrukt games","grapefrukt games","253790","https://store.steampowered.com/app/253790",""
"SUPER CHICKEN JUMPER","1632456000000","false","67898","2.99","77100","2.8284001191438723","97","Indie","Sewer Cat","Sewer Cat,Heavy Sheep","584640","https://store.steampowered.com/app/584640",""
"Flashpoint Campaigns: Southern Storm","1681963200000","false","1955","59.99","77064","28.85186633649611","91","AA","Slitherine Ltd.","On Target Simulations","2366530","https://store.steampowered.com/app/2366530",""
"BIT.TRIP RERUNNER","1695096000000","false","5488","19.99","77015","9.684804677060127","98","Indie","Choice Provisions","Choice Provisions,Gamecraft Studios","2222540","https://store.steampowered.com/app/2222540",""
"Alpha Hole Prison - A Yaoi, Gay, Bara Visual Novel","1621396800000","false","3286","29.99","76996","12.74569841910007","93","Indie","Y Press Games","Y Press Games","1237040","https://store.steampowered.com/app/1237040",""
"Unsafe Express","1637211600000","true","11223","11.99","76995","1.7808393105396834","57","Indie","OnSkull Games","OnSkull Games","1756160","https://store.steampowered.com/app/1756160",""
"Reach for the Sun","1383800400000","false","31902","4.99","76984","2.4639645647607704","69","Indie","Filament Classic","Filament Classic","248290","https://store.steampowered.com/app/248290",""
"Grisaia Phantom Trigger Vol.7","1595304000000","false","3713","24.99","76955","16.229554395599166","89","Indie","Frontwing USA","Frontwing","1292770","https://store.steampowered.com/app/1292770",""
"Nancy Drew®: Curse of Blackmoor Manor","1255147200000","false","20058","6.99","76944","7.112902515874279","88","Indie","HeR Interactive","HeR Interactive","31830","https://store.steampowered.com/app/31830",""
"Furry Love","1594353600000","false","108648","0.99","76933","14.54787556019076","84","Indie","Red Six Publishing","Red Six Development","1334590","https://store.steampowered.com/app/1334590",""
"Backrooms Society","1687147200000","true","13037","6.99","76905","7.651559053349478","77","Indie","Mikael Bihl","Mikael Bihl","2304620","https://store.steampowered.com/app/2304620",""
