"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Rift Rangers","1670475600000","1684900800000","false","693","4.99","2579","2.812203400858248","89","Hobbyist","Nightmarket Games","Nightmarket Games","2172120","https://store.steampowered.com/app/2172120"
"Fat Prisoner Simulator 2","1560484800000","","false","4794","0.99","2578","3.6377195008567833","70","Indie","Kiddy","Kiddy","1085270","https://store.steampowered.com/app/1085270"
"The Haunting of Billy Classic","1456462800000","","false","946","2.99","2578","4.059886937680091","67","Hobbyist","Targon Studios","Targon Studios","445170","https://store.steampowered.com/app/445170"
"Unbearable","1655006400000","1709614800000","false","780","7.99","2577","1.6657694045679516","65","Hobbyist","Farelas","Farelas","1990060","https://store.steampowered.com/app/1990060"
"HarmonyTD","1533009600000","","true","168","4.99","2577","0.9030424892872394","75","Hobbyist","FunArouGames","FunArouGames","866100","https://store.steampowered.com/app/866100"
"Sherlock Holmes Consulting Detective: The Case of the Mystified Murderess","1433736000000","","false","2068","3.99","2577","1.554906691709182","71","Indie","Zojoi","Zojoi","376790","https://store.steampowered.com/app/376790"
"生人症候群","1651982400000","","false","2068","0.99","2576","1.5052183373561776","76","Hobbyist","生人症候群","生人症候群","1920790","https://store.steampowered.com/app/1920790"
"Hyposphere Z","1616385600000","","false","680","9.99","2575","1.7586646141412132","76","Indie","Piece Of Voxel","Disoft Game Developers","1572190","https://store.steampowered.com/app/1572190"
"Voxel Baller","1521604800000","","false","432","5.99","2575","1.3160511399538515","21","Hobbyist","MKD games","MKD games","790810","https://store.steampowered.com/app/790810"
"The Mors","1506052800000","","false","374","4.99","2575","2.6587570810548535","69","Hobbyist","Evallis Entertainment","Joseph Lloyd","378240","https://store.steampowered.com/app/378240"
"The Sleep Experiment","1697688000000","","false","367","11.99","2575","0.9802212362062276","24","Hobbyist","ClawsDev","ClawsDev","2416780","https://store.steampowered.com/app/2416780"
"Monstrous","1526443200000","","true","162","14.99","2574","0.5308996375507591","29","Hobbyist","Red Disk Games","Red Disk Games","748820","https://store.steampowered.com/app/748820"
"NaziShootout","1520485200000","","false","2360","10.99","2574","0.32756940041421506","50","Hobbyist","crowgames","crowgames","802850","https://store.steampowered.com/app/802850"
"冒险村传说（Tales of Legends）","1486270800000","","false","2448","1.99","2574","5.455503062946758","49","Indie","psmint7","Gemini Stars Games","578440","https://store.steampowered.com/app/578440"
"pear potion🍐","1614315600000","","false","1792","1.99","2573","1.7218585616517907","96","Hobbyist","vemu games","vemu games","1405950","https://store.steampowered.com/app/1405950"
"Swimsanity!","1596686400000","","false","152","14.99","2573","2.956006217929464","74","Hobbyist","Decoy Games, LLC","Decoy Games, LLC","877800","https://store.steampowered.com/app/877800"
"Operation Sniff","1584936000000","1592020800000","false","1276","1.99","2573","3.1173753920483946","79","Indie","SoloQ","SoloQ","1086840","https://store.steampowered.com/app/1086840"
"Volvox","1449464400000","","false","344","9.99","2573","4.956792268089538","89","Hobbyist","Neotenia","Neotenia","392600","https://store.steampowered.com/app/392600"
"Bandit Brawler","1687320000000","","false","326","9.99","2573","1.6084433092352473","53","Hobbyist","Titanite Games S.A.","Titanite Games S.A.","1133040","https://store.steampowered.com/app/1133040"
"AutoSim 2","1672376400000","","false","312","9.99","2572","45.35090986958225","67","Hobbyist","JoeTowNetwork","JoeTowNetwork,Sevag H","2238350","https://store.steampowered.com/app/2238350"
"Chico and the Magic Orchards DX","1659931200000","","false","832","4.99","2572","2.0035671361578586","97","Hobbyist","Daikon Games, LLC","Daikon Games, LLC","1921550","https://store.steampowered.com/app/1921550"
"Wars and Battles: October War","1543381200000","","false","338","12.99","2572","21.372294728086743","83","Indie","Hunted Cow Games","Battle Factory","738590","https://store.steampowered.com/app/738590"
"PARASiTE FLOWER","1711166400000","","false","1441","2.99","2572","0.4360877935884684","76","Hobbyist","Catowo","Catowo","2855480","https://store.steampowered.com/app/2855480"
"Grey Bones","1617249600000","1618027200000","false","286","9.99","2571","1.2115618346407302","94","Indie","Dnovel","Dnovel","1559960","https://store.steampowered.com/app/1559960"
"Taekwondo Demonstration Team Simulator","1610946000000","","false","286","9.99","2571","0.9952939027888819","54","Hobbyist","Studio Odin inc.","Studio Odin inc.","1501140","https://store.steampowered.com/app/1501140"
"PROTEST","1538539200000","","false","3348","1.99","2571","7.38309575869337","57","Indie","Tranquility games","CUTE ANIME GIRLS","899540","https://store.steampowered.com/app/899540"
"Evil Glitch","1496203200000","","false","1560","2.99","2571","4.944838267296993","84","Indie","Giant Fox Studios","Agar3s","619890","https://store.steampowered.com/app/619890"
"Redneck Racers","1398657600000","","false","2029","1.99","2571","21.84859742447289","43","Indie","Libredia","Play, Silden","288730","https://store.steampowered.com/app/288730"
"Cyber Bay","1653019200000","","false","434","4.99","2570","0.9130408818070423","71","Indie","khukhrovr","RienSoldovsky","1950080","https://store.steampowered.com/app/1950080"
"Tentacult!","1474603200000","","false","2400","3.99","2570","1.145839625432214","80","Hobbyist","Salty Sloth Studios L.L.C.","Salty Sloth Studios L.L.C.","489440","https://store.steampowered.com/app/489440"
"Avernum 5","1341100800000","1336708800000","false","1944","4.99","2570","33.52201211806556","87","Indie","Spiderweb Software","Spiderweb Software","206040","https://store.steampowered.com/app/206040"
"Mini Madness","1627617600000","","false","490","9.99","2569","3.2626427341466755","71","Indie","Drageus Games S.A.","D6 TEAM","1603960","https://store.steampowered.com/app/1603960"
"Way of the Wizard","1674104400000","","false","525","10.99","2569","0.9399194309703801","71","Hobbyist","Dani Gas","Dani Gas","2222190","https://store.steampowered.com/app/2222190"
"Ludo XXL","1657166400000","","false","375","17.99","2568","1.6675594112682994","44","Indie","familyplay","Korion Interactive","1926220","https://store.steampowered.com/app/1926220"
"Mad Restaurant People","1536465600000","","false","925","9.99","2568","2.950787931950226","80","Indie","SureAI","SureAI","871920","https://store.steampowered.com/app/871920"
"Forbidden Planet","1452488400000","","false","4445","4.99","2568","2.0157048910707362","51","Indie","Faton","Faton","434610","https://store.steampowered.com/app/434610"
"Take No Prisoners","1687924800000","","false","379","9.99","2568","3.1276157567734417","100","Indie","SNEG","Raven Software","2464670","https://store.steampowered.com/app/2464670"
"Mulite Sword Man","1573102800000","","true","555","3.99","2567","4.321618295762349","80","Hobbyist","Storm Lee","Storm Lee","1168800","https://store.steampowered.com/app/1168800"
"Princess of Mekana","1681963200000","","false","195","14.99","2567","1.6243726352974177","93","Indie","Noxurtica","Noxurtica","2377860","https://store.steampowered.com/app/2377860"
"The Chaput's Baby","1664164800000","","false","1862","3.99","2566","0.9618119602744868","87","Hobbyist","Gundes","Gundes","2118910","https://store.steampowered.com/app/2118910"
"Trivia Vault: Mixed Trivia 2","1522540800000","1518498000000","false","2176","14.99","2566","83.03939253471381","53","Indie","Ripknot Systems","Ripknot Systems","796900","https://store.steampowered.com/app/796900"
"PANIC at Multiverse High!","1471406400000","","false","583","4.99","2566","3.107118532239815","85","Indie","DoubleBear Productions","DoubleBear Productions","515000","https://store.steampowered.com/app/515000"
"DungeonRift","1435723200000","","true","333","9.99","2566","1.2418356293519661","86","Hobbyist","RiftyGames","RiftyGames","375550","https://store.steampowered.com/app/375550"
"Armechgeddon","1681704000000","1713240000000","false","726","7.99","2566","4.797493258412021","87","Hobbyist","MothCat","MothCat","1929250","https://store.steampowered.com/app/1929250"
"Ocelot Sunrise","1699592400000","","true","650","4.99","2566","2.37971275000868","74","Indie","Tribal-Storm","Costa Blanca Studios","2194190","https://store.steampowered.com/app/2194190"
"My Furry Detective 🐾","1638507600000","","false","1520","3.99","2565","1.7087089615893107","84","Indie","Dirty Fox Games","Dirty Fox Games","1779990","https://store.steampowered.com/app/1779990"
"Banana Yetti","1683604800000","","false","95","2.99","2564","0.7173989483712103","69","Indie","Phoenixxx Games","Phoenixxx Games","2260560","https://store.steampowered.com/app/2260560"
"Rayland","1636171200000","","false","2541","2.99","2563","0.6475123563588804","91","Indie","Naoka Games","Naoka Games","1740760","https://store.steampowered.com/app/1740760"
"Riftwalker","1553832000000","","true","209","14.99","2563","2.1731298584486884","100","Hobbyist","Deeplink Studios","Deeplink Studios","929910","https://store.steampowered.com/app/929910"
"Zhmyshenko Valery Albertovich","1524715200000","","false","4653","0.99","2563","8.520848320667033","75","Indie","Ghost_RUS Games","Nikita ""Ghost_RUS""","816180","https://store.steampowered.com/app/816180"
