"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"Dot's Home","1634875200000","false","6660","0","0","1.1075272678931005","88","Hobbyist","Rise-Home Stories Project","Weathered Sweater,Aerial_Knight,Titan ARX Interactive","1763520","https://store.steampowered.com/app/1763520",""
"Golf Solitaire Simple","1634875200000","false","1046","0","0","2.7783898346594795","80","Hobbyist","Jousting Knight Games","Jousting Knight Games","1780380","https://store.steampowered.com/app/1780380",""
"Speed Mazing","1634788800000","false","1795","0","0","2.1802518811411518","81","Hobbyist","Piotr Zurek","Piotr Zurek,Łukasz Leszczuk","1115400","https://store.steampowered.com/app/1115400",""
"PROJECT: Halloween","1634788800000","false","4064","0","0","0.5112625989593784","77","Hobbyist","Studio Madeleine Chai","Studio Madeleine Chai","1763110","https://store.steampowered.com/app/1763110",""
"Lirica","1634702400000","false","1967","0","0","0.649660288508981","70","Hobbyist","DigiPen Institute of Technology","Opera Haus","1733460","https://store.steampowered.com/app/1733460",""
"Space Tek","1634788800000","true","725","0","0","0.6710604561494408","50","Hobbyist","Raw Orange Studios Limited","Raw Orange Studios Limited","1604610","https://store.steampowered.com/app/1604610",""
"Necore Tower - Redux Edition","1634702400000","false","605","0","0","1.476107368438575","83","Hobbyist","L. Kennedy","L. Kennedy","1516340","https://store.steampowered.com/app/1516340",""
"AstroBike","1634702400000","false","2768","0","0","1.3424501498381938","70","Hobbyist","Ryan Cooke & Steven Smith","Ryan Cooke,Steven Smith","1539600","https://store.steampowered.com/app/1539600",""
"LTO Arcade","1634616000000","false","338","0","0","2.427478753793663","100","Hobbyist","LTO Studios","LTO Studios","1769280","https://store.steampowered.com/app/1769280",""
"Wreckdigger","1634616000000","false","378","0","0","0.5382371626043033","71","Hobbyist","teamBitClub","Karlis Zabers","1742510","https://store.steampowered.com/app/1742510",""
"The Tale of Fighting Nymphs","1634702400000","false","16362","0","0","0.997259959300634","90","Hobbyist","studio Dynamic Arts","studio Dynamic Arts","1780690","https://store.steampowered.com/app/1780690",""
"Monster Adventure","1634702400000","false","790","0","0","0.9185615003384053","85","Indie","Gamechuck","Gamechuck","1778850","https://store.steampowered.com/app/1778850",""
"毛蟹穴","1634702400000","false","3150","0","0","0.742468986407274","63","Hobbyist","僑光科技大學多媒體與遊戲設計系","紀曲峰,李珍,陳怡文,楊芷瑄,謝亞其,陳映慈","1771830","https://store.steampowered.com/app/1771830",""
"School For The Friendless","1634702400000","false","14291","0","0","2.92457494077891","78","Hobbyist","Conor Hehr","Conor Hehr","1607980","https://store.steampowered.com/app/1607980",""
"AllBlocksWantToBeStacked","1634616000000","false","1","0.99","0","0","0","Hobbyist","Worker-TK","Worker-TK","1779500","https://store.steampowered.com/app/1779500",""
"Priest Simulator: Heavy Duty","1634529600000","false","44831","0","0","1.0290371406423264","97","Hobbyist","Ultimate Games","Asmodev","1675670","https://store.steampowered.com/app/1675670",""
"Stardander Revenant","1634529600000","false","3488","0","0","1.8406926001984023","92","Indie","Fancy Fish Games","Fancy Fish Games","1779840","https://store.steampowered.com/app/1779840",""
"KTGAME","1634529600000","false","1454","0","0","0.793058256240065","63","Hobbyist","Ktenium","Ktenium","1765320","https://store.steampowered.com/app/1765320",""
"Last Soul - Prologue","1612069200000","false","3888","0","0","0.8161198840141607","88","Hobbyist","Wulum Creative Technology Ltd.","Wulum Creative Technology Ltd.","1425580","https://store.steampowered.com/app/1425580","1634616000000"
"N1L (No1Lives)","1634270400000","false","956","0","0","1.853463980850962","53","Hobbyist","Ken Henson,Tom Motz","Ken Henson,Tom Motz","860960","https://store.steampowered.com/app/860960","1634356800000"
"Ruka","1634270400000","false","17161","0","0","0.4754165053667657","96","Hobbyist","Sleepless Studio","Sleepless Studio","1605690","https://store.steampowered.com/app/1605690",""
"Tafl Champions: Ancient Chess","1634529600000","false","1188","0","0","0.8750568353423601","75","Hobbyist","Gritstone Games","Gritstone Games","1577150","https://store.steampowered.com/app/1577150",""
"QontoWars","1634356800000","true","311","0","0","4.282086673856785","83","Hobbyist","QontoLabs","QontoLabs","1774130","https://store.steampowered.com/app/1774130",""
"Can You Escape","1634443200000","false","1","0.99","0","0","0","Hobbyist","Grazebang","Grazebang","1777210","https://store.steampowered.com/app/1777210",""
"XPLORASI3D","1668988800000","false","216","0","0","0","75","Hobbyist","MULTIPDPKIT","Syahir Bahiran Hilmi","1768340","https://store.steampowered.com/app/1768340","1634529600000"
"Sunshine & Overcast","1634270400000","false","956","0","0","0.6303495120297533","35","Hobbyist","SunshineOvercast","SunshineOvercast","964910","https://store.steampowered.com/app/964910",""
"Red Button","1634270400000","false","15883","0","0","2.2422115444851403","88","Hobbyist","Токуров Егор (WZRDQQ)","Токуров Егор (WZRDQQ),Орлов Александр (МОРЯЧОК)","1765540","https://store.steampowered.com/app/1765540",""
"Echo of Ayllu","1634270400000","false","3969","0","0","8.21263927304495","76","Hobbyist","Gaiac Games","Gaiac Games","1670240","https://store.steampowered.com/app/1670240","1710302400000"
"Consolation: Board Meeting - Anthology Edition","1634184000000","false","1654","0","0","1.3399126351432096","81","Hobbyist","Sayincraft Studios","Sayincraft Studios","1008030","https://store.steampowered.com/app/1008030",""
"Savior of Light","1634270400000","false","851","0","0","3.9684725248127566","86","Hobbyist","Oakenai Six","Oakenai Six","1746780","https://store.steampowered.com/app/1746780",""
"Bounty Below","1634184000000","false","12876","0","0","34.616150470193375","81","Hobbyist","William Cheek","William Cheek","697900","https://store.steampowered.com/app/697900",""
"Digital Janitors","1634184000000","false","1350","0","0","1.4621246138231427","96","Hobbyist","Tired Turtle Games","Tired Turtle Games","1389850","https://store.steampowered.com/app/1389850",""
"The Darkest Tales — Into the Nightmare","1634184000000","false","163664","0","0","1.1916801478392156","86","Indie","101XP","Trinity Team","1747650","https://store.steampowered.com/app/1747650",""
"PIGGY: Hunt","1634184000000","true","104750","0","0","1.1335691822282947","72","Hobbyist","Shaggy Doge","Shaggy Doge","1702320","https://store.steampowered.com/app/1702320",""
"Ingredienta","1634184000000","true","385","0","0","1.0913194315376906","63","Hobbyist","MGames Studio","MGames Studio","1705730","https://store.steampowered.com/app/1705730",""
"Deep Rune","1634184000000","false","633","0","0","3.6264980655855292","100","Indie","JC Bailey","JC Bailey","1631780","https://store.steampowered.com/app/1631780",""
"Cards of the Dead - Prologue","1634184000000","false","2081","0","0","0.630204363179464","80","Indie","JanduSoft","Boomfire Games","1674660","https://store.steampowered.com/app/1674660",""
"ZpellCatz: Pumpkin Prologue","1634184000000","false","527","0","0","0.7677915981589228","100","Hobbyist","SimaGames","SimaGames","1679590","https://store.steampowered.com/app/1679590",""
"Seditionis Crutarch Royale","1634184000000","true","756","0","0","0.7947237049412815","75","Hobbyist","Dragonflare Studios","Dragonflare Studios","1765040","https://store.steampowered.com/app/1765040",""
"Codename: TIARAS","1634184000000","false","2372","0","0","1.217914449696874","58","Hobbyist","DigiPen Institute of Technology","Team Slippers","1770760","https://store.steampowered.com/app/1770760",""
"The Hidden Room","1634184000000","false","56872","0","0","0.6522584415719541","70","Hobbyist","Emanuele Avallone","Mario Amato,Emanuele Avallone","1771380","https://store.steampowered.com/app/1771380",""
"tERRORbane: an INTRODUCTION, mostly","1634097600000","false","4453","0","0","0.9248869503608795","96","AA","WhisperGames","BitNine Studio","1773410","https://store.steampowered.com/app/1773410",""
"UEBERNATURAL: The Video Game - Prologue","1634097600000","false","5805","0","0","0.4340058350589989","94","Hobbyist","ILIKESCIFI Games","ILIKESCIFI Games","1386940","https://store.steampowered.com/app/1386940",""
"Operation DogFight","1634097600000","false","790","0","0","0.9043691998976352","85","Hobbyist","Petricore, Inc.","Petricore, Inc.","1266900","https://store.steampowered.com/app/1266900",""
"Halo 2 Mod Tools - MCC","1634097600000","false","4371","0","0","45.61409464671908","89","Hobbyist","Xbox Games Studios","","1613450","https://store.steampowered.com/app/1613450",""
"Polyslime","1634097600000","false","169","0","0","2.490705254312193","100","Hobbyist","","None","1763330","https://store.steampowered.com/app/1763330",""
"Halo 3 Mod Tools - MCC","1634097600000","false","10049","0","0","71.43598643769047","95","Hobbyist","","343 Industries,Splash Damage,Ruffian Games,Bungie,Saber Interactive","1695791","https://store.steampowered.com/app/1695791",""
"Mad Cart","1634184000000","false","1","0.99","0","0","0","Hobbyist","Dmitrijs Lapins","Dmitrijs Lapins","1580290","https://store.steampowered.com/app/1580290",""
"指示厨","1634097600000","false","135","0","0","0.38744137650061955","100","Hobbyist","瑞翠瞎发","瑞翠瞎做","1727880","https://store.steampowered.com/app/1727880",""
"25 Layers of Pain","1634097600000","false","5247","0","0","3.5741666401479573","75","Hobbyist","Beautiful Void Studio","Beautiful Void Studio","1715840","https://store.steampowered.com/app/1715840",""
