"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Hentai GIF Puzzle","1608872400000","1619841600000","false","888","0.99","791","0.14919047619047618","60","Indie","Seito Games","Seito Games","1495570","https://store.steampowered.com/app/1495570"
"The Math Problem Killer","1708232400000","","false","88","4.99","791","2.878021960173212","54","Hobbyist","Bejamru Studio","Bejamru Studio","2479160","https://store.steampowered.com/app/2479160"
"Only Up: SKIBIDI","1719115200000","","false","294","2.99","791","0.5732436844602279","23","Hobbyist","Darkwave Studio","Darkwave Studio","2997450","https://store.steampowered.com/app/2997450"
"VHS: Recovered Tapes","1723593600000","","false","110","7.99","791","0.3203485369342911","33","Hobbyist","Moonman Games","Digital Cove Games,Mad Scientist Studios","3118330","https://store.steampowered.com/app/3118330"
"Not Your Mama's Autobattler","1665460800000","","false","60","14.99","790","9.584115700679943","88","Hobbyist","Ancient Empire Games LLC.","Ancient Empire Games LLC.","1993900","https://store.steampowered.com/app/1993900"
"TargetPOP","1658980800000","","false","176","4.99","790","1.770280960539479","100","Hobbyist","Inception Studios, LLC","Inception Studios, LLC","2059690","https://store.steampowered.com/app/2059690"
"Colors! Platform","1658462400000","","false","1350","0.99","790","0.9268248277601117","96","Hobbyist","Vergiu","Vergiu","1974320","https://store.steampowered.com/app/1974320"
"Armored Battalion","1656043200000","1675400400000","false","72","8.99","790","1.506612640502323","50","Hobbyist","cuidong","cuidong","2027600","https://store.steampowered.com/app/2027600"
"We are definitely the baddies","1652932800000","","false","360","2.99","790","0.34699768961317157","27","Hobbyist","Ludipe & Friends","Ludipe & Friends","1985150","https://store.steampowered.com/app/1985150"
"Dragon Saddle Melee","1643173200000","","false","176","4.99","790","2.859908994475588","100","Hobbyist","Main Tank Software LLC","Main Tank Software LLC","1479980","https://store.steampowered.com/app/1479980"
"Snowman Arena","1639976400000","","false","220","3.99","790","1.560668257620306","100","Hobbyist","Nukeborn Studio","Nukeborn Studio","1768980","https://store.steampowered.com/app/1768980"
"Fishticuffs","1608526800000","","false","176","4.99","790","1.8714500461891315","100","Hobbyist","Yokcos","Yokcos","1457840","https://store.steampowered.com/app/1457840"
"Gurobu","1597377600000","","false","644","2.55","790","2.041012529381361","92","Indie","Aiaz Marx","Aiaz Marx","1383850","https://store.steampowered.com/app/1383850"
"救赎抉择Resurrection","1569297600000","","true","270","0.99","790","12.165278346843719","86","Hobbyist","Just For Fun","Just For Fun","1144270","https://store.steampowered.com/app/1144270"
"VR Sand","1549515600000","","false","176","4.99","790","1.106322687003101","100","Hobbyist","Phylliida","Phylliida","632040","https://store.steampowered.com/app/632040"
"Ungate","1701752400000","","false","69","9.99","790","1.4818902349040457","89","Hobbyist","Vivorlds","Varvara Andrei","2601620","https://store.steampowered.com/app/2601620"
"SwordsGirl Harumi - Adult Only","1701752400000","","false","381","1.5","790","0.8126192299472514","27","Hobbyist","ERO ACTION","JY ACTION","2646440","https://store.steampowered.com/app/2646440"
"Rap Pop Jump Core","1718337600000","","false","568","29.99","790","2.7341958317689734","84","Indie","Galactic Geckon","Galactic Geckon","3015190","https://store.steampowered.com/app/3015190"
"Coof Attack","1606798800000","","false","150","5.99","789","2.057603727878365","82","Hobbyist","Basement Owl","Basement Owl","1283260","https://store.steampowered.com/app/1283260"
"Kronorite","1569038400000","","false","95","11.99","789","5.065877477044581","90","Hobbyist","NOC-Studios","NOC-Studios","876780","https://store.steampowered.com/app/876780"
"Comix Zone™","1275364800000","","false","399","0.99","789","0.1401083257178061","100","AA","SEGA","SEGA","34272","https://store.steampowered.com/app/34272"
"The Orc Invasion","1676350800000","","true","240","3.99","789","1.6404130853095062","92","Hobbyist","ATK Games","Ahmet Tunç Kaçar","2299790","https://store.steampowered.com/app/2299790"
"OVERWHELMED","1686628800000","","false","207","4.99","789","0.959803189072069","95","Hobbyist","Blukulélé Studio","Blukulélé Studio","2407200","https://store.steampowered.com/app/2407200"
"Escape the Dark Tower","1696824000000","","false","281","2.99","789","0.7110722234622197","98","Hobbyist","pq pixels","pq pixels","2465090","https://store.steampowered.com/app/2465090"
"Gachimuchi Life Simulator","1627617600000","","false","798","3.99","788","4.9037807085289975","83","Indie","Slippy Floor","Slippy Floor","1690360","https://store.steampowered.com/app/1690360"
"Malvin`s Prehistoric Adventures","1599192000000","","false","145","6.99","788","0.8781831525313356","67","Hobbyist","Basic Sloth","Basic Sloth","1228670","https://store.steampowered.com/app/1228670"
"Somewhere: Sect of Relic","1580274000000","1588564800000","false","1008","4.99","788","1.2248453208841183","65","Hobbyist","Junla Games","Dude Bro's","1224380","https://store.steampowered.com/app/1224380"
"The Chronicles of Robin Hood - The King of Thieves","1586664000000","","false","220","4.99","788","2.410785906216955","100","Indie","HH-Games","e-FunSoft Games","1276600","https://store.steampowered.com/app/1276600"
"BeiJing Courier Simulator","1558670400000","","false","276","4.99","788","2.8526422839324734","50","Hobbyist","CoughCat Software","CoughCat","1079480","https://store.steampowered.com/app/1079480"
"Space Smash","1551934800000","","false","1519","0.99","788","2.5058308374963745","92","Indie","Rising Moon Games","Rising Moon Games","1036490","https://store.steampowered.com/app/1036490"
"Riddles of Fate: Wild Hunt Collector's Edition","1493596800000","1479272400000","false","165","9.99","788","4.353258898180851","100","Indie","Big Fish Games","Elephant Games","555520","https://store.steampowered.com/app/555520"
"Safehouse","1674363600000","","true","171","5.99","788","2.7158447855599364","100","Hobbyist","Gecco Studio Games","Gecco Studio Games","2271300","https://store.steampowered.com/app/2271300"
"Dimensions","1696305600000","1723507200000","false","92","24.99","788","1.2928896154297675","69","Hobbyist","Villano Wild Studio","Villano Wild","2559050","https://store.steampowered.com/app/2559050"
"Fumiko and the Village of Lust","1714622400000","","false","114","8.99","788","0.7265910645390735","75","Hobbyist","Hot Bamboo","HotBamboo","2890780","https://store.steampowered.com/app/2890780"
"ReplayBellSuikaSlotLikeGame","1716868800000","","false","431","2.22","788","4.408151953443693","93","Hobbyist","ほんわかふわふわ","ほんわかふわふわ","2804960","https://store.steampowered.com/app/2804960"
"FurryFury: Smash & Roll","1562817600000","1649908800000","false","104","4.99","787","10.798522581603114","82","Hobbyist","Cosmic Dreams Games","Demibug,Cosmic Dreams Games","906870","https://store.steampowered.com/app/906870"
"Eternal Pain: Epiphany","1594612800000","","false","225","2.99","787","1.0637767200710746","70","Hobbyist","GDOAD EIS D","GDOAD EIS D","1350060","https://store.steampowered.com/app/1350060"
"Final Cut: Death on the Silver Screen Collector's Edition","1519862400000","1472097600000","false","138","9.99","787","3.286244132482705","80","Indie","Big Fish Games","Eipix Entertainment","514740","https://store.steampowered.com/app/514740"
"The Lost City Of Malathedra","1427774400000","","false","231","6.99","787","1.3518267958040024","25","Indie","Strategy First","Ethereal Darkness Interactive","354690","https://store.steampowered.com/app/354690"
"DERE Vengeance","1695009600000","","false","339","3.99","787","1.4693831325075322","88","Indie","AppSir Games","Darius Immanuel Guerrero","2566430","https://store.steampowered.com/app/2566430"
"Timberman: The Big Adventure","1700802000000","","false","230","4.99","787","1.5749917463303875","88","Indie","Forever Entertainment S. A.","Digital Melody,Storm Trident S. A.","2589910","https://store.steampowered.com/app/2589910"
"District Panic","1718856000000","","true","131","1.99","787","2.806266090211949","100","Hobbyist","Asfar GAMES","Asfar GAMES","2807390","https://store.steampowered.com/app/2807390"
"Scarred Stars: Traumatic Edition","1634875200000","","false","665","1.99","786","1.174260780997054","83","Hobbyist","Tuomo's Games","Tuomo Laine","1754760","https://store.steampowered.com/app/1754760"
"Darklands:Awakening","1600747200000","","false","46","19.99","786","0.9510605056769867","14","Hobbyist","Limitcore.studio","Limitcore.studio","1423500","https://store.steampowered.com/app/1423500"
"Light Years Apart","1591848000000","","false","200","5.99","786","4.775892776778627","67","Indie","Choice of Games","Choice of Games","1290460","https://store.steampowered.com/app/1290460"
"Spellforge","1475553600000","","false","125","6.99","786","0.8278057109447733","67","Hobbyist","Paper Scorpion Co.","Paper Scorpion Co.","489080","https://store.steampowered.com/app/489080"
"Astral Breakers","1454562000000","","false","270","4.99","786","2.6514569864739395","50","Hobbyist","Intropy Games","Intropy Games","406120","https://store.steampowered.com/app/406120"
"Hentai DevilGirl","1669870800000","","false","1002","0.99","786","1.0664048850764667","92","Indie","Hentai works","GentleDriver,Puzzle L Porject","2222910","https://store.steampowered.com/app/2222910"
"Citor3 Sex Villa VR Adult XXX Game","1615438800000","","false","200","4.99","786","0.24030303030303035","36","Indie","Citor3","Citor3","1561370","https://store.steampowered.com/app/1561370"
"Match Gem 99","1702962000000","","false","62","4.99","786","1.3078767817608454","70","Hobbyist","Minimum Studio Corp.","Minimum Studio Corp.","2504620","https://store.steampowered.com/app/2504620"
