Label,releaseYear,releaseMonth,sommeCopiesSold
Action,2022,May,7898189
Action,2022,Nov,12458736
Action,2022,Oct,20606001
Action,2022,Sep,14484680
Action,2022,NULL,145656639
Action,2023,Apr,10691599
Action,2023,Aug,20559967
Action,2023,Dec,6879825
Action,2023,Feb,10232779
Action,2023,Jan,11838579
Action,2023,Jul,6053112
Action,2023,Jun,31525829
Action,2023,Mar,14382905
Action,2023,May,12180344
Action,2023,Nov,9283862
Action,2023,Oct,18805693
Action,2023,Sep,13848155
Action,2023,NULL,166282649
Action,2024,Apr,12418625
Action,2024,Aug,3767429
Action,2024,Feb,9358233
Action,2024,Jan,4951686
Action,2024,Jul,15865061
Action,2024,Jun,11936626
Action,2024,Mar,12919497
Action,2024,May,16640745
Action,2024,Sep,3824971
Action,2024,NULL,91682873
Action,NULL,NULL,2284232497
Adventure,2002,Aug,341560
Adventure,2002,NULL,341560
Adventure,2007,Aug,46251
Adventure,2007,Jan,25315
Adventure,2007,Jul,17794
Adventure,2007,Jun,559087
Adventure,2007,Mar,431748
Adventure,2007,May,33504
Adventure,2007,NULL,1113699
Adventure,2008,Apr,1501398
Adventure,2008,Aug,166746
Adventure,2008,Dec,3921330
Adventure,2008,Jan,20230
Adventure,2008,Jul,44989
Adventure,2008,Jun,105271
Adventure,2008,Mar,145956
Adventure,2008,Nov,687577
Adventure,2008,Oct,2969529
Adventure,2008,Sep,214872
Adventure,2008,NULL,9777898
Adventure,2009,Apr,93852
Adventure,2009,Aug,102534
Adventure,2009,Dec,285229
Adventure,2009,Feb,13064
Adventure,2009,Jan,4652635
Adventure,2009,Jul,2892069
Adventure,2009,Jun,884014
Adventure,2009,Mar,721426
Adventure,2009,May,15444
Adventure,2009,Nov,1421085
Adventure,2009,Oct,923657
Adventure,2009,Sep,4899541
Adventure,2009,NULL,16904550
Adventure,2010,Apr,94920
Adventure,2010,Aug,11315
Adventure,2010,Dec,77559
Adventure,2010,Feb,90796
Adventure,2010,Jan,29272
Adventure,2010,Jul,1829329
Adventure,2010,Jun,4055748
Adventure,2010,Mar,11402269
Adventure,2010,May,900
Adventure,2010,Nov,31294
Adventure,2010,Oct,479211
Adventure,2010,Sep,3352695
Adventure,2010,NULL,21455308
Adventure,2011,Apr,20416859
Adventure,2011,Aug,4093846
Adventure,2011,Dec,662640
Adventure,2011,Feb,81033
Adventure,2011,Jan,1386032
Adventure,2011,Jul,52114
Adventure,2011,Jun,4733401
Adventure,2011,Mar,3717171
Adventure,2011,May,29890743
Adventure,2011,Nov,5961968
Adventure,2011,Oct,291217
Adventure,2011,Sep,4480801
Adventure,2011,NULL,75767825
Adventure,2012,Apr,3758814
Adventure,2012,Aug,2468988
Adventure,2012,Dec,842891
Adventure,2012,Feb,6401800
Adventure,2012,Jan,274795
Adventure,2012,Jul,674497
Adventure,2012,Jun,3357465
Adventure,2012,Mar,863183
Adventure,2012,May,1454882
Adventure,2012,Nov,2577903
Adventure,2012,Oct,5854440
Adventure,2012,Sep,17125416
Adventure,2012,NULL,45655074
Adventure,2013,Apr,7621933
Adventure,2013,Aug,12016816
Adventure,2013,Dec,2780367
Adventure,2013,Feb,3665040
Adventure,2013,Jan,3558648
Adventure,2013,Jul,1411914
Adventure,2013,Jun,4573336
Adventure,2013,Mar,2698770
Adventure,2013,May,4450649
Adventure,2013,Nov,2208336
Adventure,2013,Oct,11418163
Adventure,2013,Sep,10440736
Adventure,2013,NULL,66844708
Adventure,2014,Apr,1907516
Adventure,2014,Aug,4346598
Adventure,2014,Dec,3334207
Adventure,2014,Feb,6238502
Adventure,2014,Jan,4327208
Adventure,2014,Jul,5244394
Adventure,2014,Jun,10731276
Adventure,2014,Mar,4134287
Adventure,2014,May,9530793
Adventure,2014,Nov,9563200
Adventure,2014,Oct,7026540
Adventure,2014,Sep,4917189
Adventure,2014,NULL,71301710
Adventure,2015,Apr,5739353
Adventure,2015,Aug,4208222
Adventure,2015,Dec,4283975
Adventure,2015,Feb,4888179
Adventure,2015,Jan,10332246
Adventure,2015,Jul,11770135
Adventure,2015,Jun,5814638
Adventure,2015,Mar,2413832
Adventure,2015,May,10768643
Adventure,2015,Nov,11652865
Adventure,2015,Oct,8016490
Adventure,2015,Sep,17306225
Adventure,2015,NULL,97194803
Adventure,2016,Apr,24403301
Adventure,2016,Aug,9276253
Adventure,2016,Dec,5787143
Adventure,2016,Feb,21628796
Adventure,2016,Jan,10154585
Adventure,2016,Jul,21135966
Adventure,2016,Jun,5327959
Adventure,2016,Mar,7898989
Adventure,2016,May,1956090
Adventure,2016,Nov,14663305
Adventure,2016,Oct,8420130
Adventure,2016,Sep,4481795
Adventure,2016,NULL,135134312
Adventure,2017,Apr,8326265
Adventure,2017,Aug,15699794
Adventure,2017,Dec,7300616
Adventure,2017,Feb,42758044
Adventure,2017,Jan,1987367
Adventure,2017,Jul,48749439
Adventure,2017,Jun,2507430
Adventure,2017,Mar,8922343
Adventure,2017,May,14729415
Adventure,2017,Nov,2537515
Adventure,2017,Oct,12165796
Adventure,2017,Sep,5832700
Adventure,2017,NULL,171516724
Adventure,2018,Apr,7431541
Adventure,2018,Aug,16163828
Adventure,2018,Dec,6120979
Adventure,2018,Feb,21172489
Adventure,2018,Jan,12351560
Adventure,2018,Jul,2587124
Adventure,2018,Jun,4341280
Adventure,2018,Mar,12073065
Adventure,2018,May,27667822
Adventure,2018,Nov,6463478
Adventure,2018,Oct,7252937
Adventure,2018,Sep,13639740
Adventure,2018,NULL,137265843
Adventure,2019,Apr,6467242
Adventure,2019,Aug,3997154
Adventure,2019,Dec,7412937
Adventure,2019,Feb,10327034
Adventure,2019,Jan,5975255
Adventure,2019,Jul,5371796
Adventure,2019,Jun,4847107
Adventure,2019,Mar,4316599
Adventure,2019,May,9392267
Adventure,2019,Nov,6960930
Adventure,2019,Oct,9968957
Adventure,2019,Sep,12701568
Adventure,2019,NULL,87738846
Adventure,2020,Apr,5113785
Adventure,2020,Aug,13684035
Adventure,2020,Dec,5791904
Adventure,2020,Feb,5661683
Adventure,2020,Jan,3971434
Adventure,2020,Jul,6663398
Adventure,2020,Jun,45934777
Adventure,2020,Mar,11504948
Adventure,2020,May,12435130
Adventure,2020,Nov,5173436
Adventure,2020,Oct,10317318
Adventure,2020,Sep,8848522
Adventure,2020,NULL,135100370
Adventure,2021,Apr,5787751
Adventure,2021,Aug,8819529
Adventure,2021,Dec,6757482
Adventure,2021,Feb,7176685
Adventure,2021,Jan,3855779
Adventure,2021,Jul,7531724
Adventure,2021,Jun,13275456
Adventure,2021,Mar,12144961
Adventure,2021,May,7693517
Adventure,2021,Nov,17910242
Adventure,2021,Oct,15681889
Adventure,2021,Sep,18001363
Adventure,2021,NULL,124636378
Adventure,2022,Apr,5115883
Adventure,2022,Aug,16241435
Adventure,2022,Dec,9833708
Adventure,2022,Feb,6634620
Adventure,2022,Jan,14171957
Adventure,2022,Jul,5793807
Adventure,2022,Jun,7597221
Adventure,2022,Mar,7407277
Adventure,2022,May,4283212
Adventure,2022,Nov,9832079
Adventure,2022,Oct,7915204
Adventure,2022,Sep,11033528
Adventure,2022,NULL,105859931
Adventure,2023,Apr,8961830
Adventure,2023,Aug,6849493
Adventure,2023,Dec,5108397
Adventure,2023,Feb,5743101
Adventure,2023,Jan,8741111
Adventure,2023,Jul,4457276
Adventure,2023,Jun,30640540
Adventure,2023,Mar,12715279
Adventure,2023,May,7787899
Adventure,2023,Nov,8796112
Adventure,2023,Oct,20662727
Adventure,2023,Sep,9672419
Adventure,2023,NULL,130136184
Adventure,2024,Apr,50191427
Adventure,2024,Aug,5283107
Adventure,2024,Feb,9526353
Adventure,2024,Jan,6976289
Adventure,2024,Jul,14796477
Adventure,2024,Jun,13850857
Adventure,2024,Mar,4985960
Adventure,2024,May,15282380
Adventure,2024,Sep,8357471
Adventure,2024,NULL,129250321
Adventure,NULL,NULL,1562996044
Casual,2003,Nov,16807
Casual,2003,NULL,16807
Casual,2006,Aug,883301
Casual,2006,Dec,31933
Casual,2006,Nov,27714812
Casual,2006,Oct,504
Casual,2006,NULL,28630550
Casual,2007,Aug,46251
Casual,2007,Dec,13360
Casual,2007,Jun,75523
Casual,2007,Oct,2706
Casual,2007,Sep,284251
Casual,2007,NULL,422091
Casual,2008,Aug,14535
Casual,2008,Dec,3830776
Casual,2008,Jan,16376
Casual,2008,Jul,81955
Casual,2008,Jun,31548
Casual,2008,Mar,8401
Casual,2008,May,55350
