"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"Recordbooks","1696651200000","false","58","11.99","625","1.6654098721176671","63","Hobbyist","SNOWSOFTS NZ LIMITED","SNOWSOFTS NZ LIMITED","2588540","https://store.steampowered.com/app/2588540",""
"DCOP","1697774400000","false","271","2.99","625","0.7133840478436917","92","Hobbyist","Klockworks,Clairstyler","Anton Klock,John Eriksson","2542320","https://store.steampowered.com/app/2542320",""
"The Very Idle Game","1715832000000","false","164","4.99","625","5.2924745912645355","75","Hobbyist","roflinka games","roflinka games","2965590","https://store.steampowered.com/app/2965590",""
"The Best Duck Clicker","1722816000000","false","272","2.99","625","11.735481580196359","93","Hobbyist","EVIL CORP GAMES","EVIL CORP GAMES","3110500","https://store.steampowered.com/app/3110500",""
"Project:EagleBeak","1662091200000","true","72","9.99","624","14.633311004947185","75","Indie","QZQ Studio","QZQ Studio","2025440","https://store.steampowered.com/app/2025440",""
"Cupid Kiss","1658462400000","false","546","2.99","624","1.1126828544309988","100","Hobbyist","Lixeira Publishing Ltd.,Supernova Games","Supernova Games","1954020","https://store.steampowered.com/app/1954020",""
"I Love Finding Pups","1634443200000","false","138","9.99","624","2.858757392325079","80","Indie","Boomzap Inc","Tiny Little Lion","1740890","https://store.steampowered.com/app/1740890",""
"CANNON","1630468800000","false","783","0.99","624","0.8142906893243016","52","Indie","Sprovieri Games","Sprovieri Games","1728880","https://store.steampowered.com/app/1728880",""
"Flying Soldiers","1650067200000","false","120","17.99","624","2.2404172863495875","100","Indie","WildSphere","WildSphere","1276330","https://store.steampowered.com/app/1276330","1600747200000"
"OS Omega: Retro Shooter","1587614400000","false","84","6.99","624","1.6205424964786743","60","Indie","RockGame S.A.,Worker Bee Inc.","Artur Mandas","1181510","https://store.steampowered.com/app/1181510",""
"The Grand Museum VR","1532059200000","false","72","9.99","624","0.3193916362045577","25","Hobbyist","Owlgorithm LLC","Owlgorithm","896240","https://store.steampowered.com/app/896240",""
"Curse seal rotation","1712289600000","false","146","5.99","624","8.410835861392925","71","Hobbyist","Qing He Games","Qing He Games","2704770","https://store.steampowered.com/app/2704770",""
"Tsubaki Hata","1669611600000","false","190","49.99","623","0.7721968477130609","91","Indie","Blessing Company","Blessing Company","2214140","https://store.steampowered.com/app/2214140",""
"Cat Lovescapes","1655611200000","false","150","9.99","623","0.663520390883035","67","Hobbyist","Silesia Games","BRAVEGIANT LTD","2020930","https://store.steampowered.com/app/2020930",""
"Victim","1672617600000","false","75","9.99","623","8.24976456134447","67","Hobbyist","Trash Vomit Studios","James H. Van der Meulen","1984240","https://store.steampowered.com/app/1984240","1652932800000"
