"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"M.A.C.E. Tower Defense","1500177600000","false","2476","2.99","3286","12.672387951832068","72","Indie","EntwicklerX","EntwicklerX","660320","https://store.steampowered.com/app/660320",""
"Days with Ophelia: The Girl From Wind City","1637902800000","false","448","8.99","3286","0.9498092281931921","88","Hobbyist","純白花園WeissGarden","沉思者貓(The Thinker Cat),梅果子Plumko","1755530","https://store.steampowered.com/app/1755530","1648008000000"
"Furry Boss 💼","1701493200000","false","880","4.99","3286","1.6262087566203467","100","Indie","Dirty Fox Games","Dirty Fox Games","2089060","https://store.steampowered.com/app/2089060",""
"FPVSIM Drone Simulator","1698379200000","false","309","12.99","3286","0.273","0","Hobbyist","fpvsim.com","fpvsim.com","2605530","https://store.steampowered.com/app/2605530",""
"GraveRun","1474430400000","true","528","7.99","3285","3.8819825484883888","96","Hobbyist","","W@ Games","450760","https://store.steampowered.com/app/450760",""
"Spellcats: Auto Card Tactics","1715918400000","false","386","9.99","3285","2.4098331703584583","69","Hobbyist","Nintai Studios","Nintai Studios","2150910","https://store.steampowered.com/app/2150910",""
"Forrader Hero","1659412800000","false","1540","3.99","3284","2.4616456449827897","96","Indie","VidyGames","VidyGames","2056490","https://store.steampowered.com/app/2056490","1674450000000"
"From Earth To Heaven","1630814400000","false","858","6.99","3284","3.5406241031455967","72","Indie","EpiXR Games UG","EpiXR Games UG","1623090","https://store.steampowered.com/app/1623090",""
"GROW: Wild West","1527134400000","false","1760","2.99","3284","1.2700713802079164","66","Hobbyist","Armatur Games","Armatur Games","848300","https://store.steampowered.com/app/848300",""
"The Land of Dasthir","1483938000000","false","4501","1.99","3284","4.099706359561742","45","Indie","Back To Basics Gaming","RPG Video","545700","https://store.steampowered.com/app/545700",""
"I Know a Tale","1474344000000","false","3211","2.99","3284","3.07246731991015","75","Indie","Hoshko","Hoshko","529450","https://store.steampowered.com/app/529450",""
"Extra Case: My Girlfriend's Secrets","1662955200000","false","1533","2.99","3283","1.0262024435602846","88","Indie","Sounding Stone / 老奉毊,RMAsia","Sounding Stone / 老奉毊,MaouCat Studio / 魔王貓工作室","1959530","https://store.steampowered.com/app/1959530",""
"A Tale of Synapse : The Chaos Theories","1653177600000","false","216","17.99","3283","1.9170408988747414","100","Hobbyist","Souris Lab","Souris Lab","1890810","https://store.steampowered.com/app/1890810","1644555600000"
"The Last Dogma - Wilder Wein Edition","1435636800000","false","1632","6.99","3283","2.3126148315690083","51","Hobbyist","Sasha Darko","Sasha Darko","374510","https://store.steampowered.com/app/374510",""
"Tales of Fablecraft","1721692800000","true","8158","0","3283","4.831747354194525","77","Hobbyist","Riftweaver Game Studio","Riftweaver Game Studio","2176900","https://store.steampowered.com/app/2176900",""
"The Peak Climb VR","1663819200000","false","448","4.99","3282","0.27319813807943466","35","Hobbyist","Srio","Srio","2120810","https://store.steampowered.com/app/2120810",""
"LA FORET DE PAGO : LA VENGEANCE DU DRAGON","1600920000000","false","696","5.99","3282","1.490049723433669","93","Indie","Nova's Army","Futurtech","1413590","https://store.steampowered.com/app/1413590",""
"Rogue Quest: The Vault of the Lost Tyrant","1508904000000","false","2107","4.99","3282","0.946524240153579","74","Indie","Eli Daddio","ExperaGameStudio","728420","https://store.steampowered.com/app/728420",""
"Evil Robot Traffic Jam HD","1472184000000","false","819","4.99","3282","2.601323673572759","76","Hobbyist","Element Games, LLC","Element Games, LLC","404390","https://store.steampowered.com/app/404390",""
"A TAVERN FOR TEA","1679630400000","false","1391","2.99","3282","0.8534339030524675","97","Indie","npckc","npckc","2319470","https://store.steampowered.com/app/2319470",""
"Dyna Bomb","1463112000000","false","1935","3.99","3281","4.3054231800258655","77","Hobbyist","7 Raven Studios","7 Raven Studios","467220","https://store.steampowered.com/app/467220",""
"Numba Deluxe","1400817600000","false","4830","2.99","3281","2.9228826974821764","63","Indie","Cobra Mobile","Cobra Mobile","301700","https://store.steampowered.com/app/301700",""
"Pickup Point Simulator","1723420800000","false","562","6.99","3281","1.9215093387703799","93","Hobbyist","River Way Studio","River Way Studio","2316030","https://store.steampowered.com/app/2316030",""
"Yokai Hunter Shintaro","1651550400000","false","1333","5.99","3280","2.40331352214824","71","Hobbyist","RivalThird","RivalThird","1916960","https://store.steampowered.com/app/1916960",""
"Beer Pong League","1542258000000","false","924","4.99","3280","3.1424042086353547","66","Indie","Polyverse Studio","Polyverse Studio","642190","https://store.steampowered.com/app/642190","1543554000000"
"SICK","1631678400000","false","682","0.99","3279","0.6644035218914376","42","Hobbyist","Michael Derek","Michael Derek","1735930","https://store.steampowered.com/app/1735930","1651291200000"
"Let's Puzzle","1637730000000","false","456","7.99","3279","15.964215818047276","100","Hobbyist","","Zindeaxx Games","1780290","https://store.steampowered.com/app/1780290",""
"Black Salt Coreuption","1553745600000","true","270","9.99","3277","3.301859292567849","69","Hobbyist","Ratti Entertainment LLC.","Ratti Entertainment LLC.,Taktyl Studios","987180","https://store.steampowered.com/app/987180",""
"守卫英雄","1665633600000","true","2859","0","3276.5102687579233","53.29818599957932","65","Hobbyist","守卫英雄","守卫英雄","2109320","https://store.steampowered.com/app/2109320",""
"SuperTotalCarnage!","1666843200000","true","2318","2.99","3275","1.8669090702788724","63","Indie","IndieGala","IndieGala","2118580","https://store.steampowered.com/app/2118580",""
"Neko Candy Shop","1631851200000","false","6556","0.99","3275","14.192611025266407","82","Indie","Hot Chill","Hot Chill","1713190","https://store.steampowered.com/app/1713190",""
"Ominous Tales: The Forsaken Isle","1497844800000","false","912","6.99","3274","1.280590554493046","61","Indie","HH-Games","Urchin Games","645410","https://store.steampowered.com/app/645410",""
"WIN THE GAME: DO IT!","1525233600000","false","7920","0.99","3273","3.6102646635293922","62","Indie","AFBIK Studio","AFBIK Studio","843890","https://store.steampowered.com/app/843890",""
"Hoples","1624334400000","false","364","9.99","3272","1.3711540162725957","48","Indie","Piece Of Voxel","Amfich","1660460","https://store.steampowered.com/app/1660460",""
"Ironseed 25th Anniversary Edition","1600660800000","false","280","4.99","3272","8.677669785443019","100","Hobbyist","Channel 7 Software","Robert Morgan,Jeremy Stanton","1412980","https://store.steampowered.com/app/1412980",""
"Magic Sexyland","1644469200000","false","504","7.99","3272","0.8619790337063835","68","Indie","Nutaku Publishing","Funky_Forest","1795310","https://store.steampowered.com/app/1795310",""
"There Won't be Light","1664078400000","true","1728","4.99","3271","0.8498145382047569","58","Indie","BarCoffee Studio","BarCoffee Studio","1846940","https://store.steampowered.com/app/1846940",""
"Achievement Lurker: You are going to have to work hard for these nuts","1529380800000","false","3645","1.99","3271","3.3840936819177374","75","Indie","Perverse Games","Perverse Games","830490","https://store.steampowered.com/app/830490",""
"Fatal Stormer","1522814400000","false","777","4.99","3271","2.9699969999457183","61","Hobbyist","Square Gem Software","Square Gem Software","818220","https://store.steampowered.com/app/818220",""
