"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"A Few Days With : Tiffany","1721347200000","false","56","2.99","150","0.5131322855222398","100","Hobbyist","Hentai Panda","Hentai Panda","3025140","https://store.steampowered.com/app/3025140",""
"Backspace Backspace Backspace","1722816000000","false","183","0.99","150","0.39043554167267575","100","Hobbyist","Blue Tango Street","Blue Tango Street","3058940","https://store.steampowered.com/app/3058940",""
"Cursed Home","1725580800000","false","61","2.99","150","0.20041666666666666","17","Hobbyist","Markus Korda","Markus Korda","3177160","https://store.steampowered.com/app/3177160",""
"Nyanco Impact","1668142800000","true","4193","0","149.41367804115848","9.439134387675988","88","Hobbyist","Nyanco Project","Nyanco Project","2191670","https://store.steampowered.com/app/2191670",""
"Headz Go Racing","1668834000000","true","36","5.99","149","0.8645094027281758","50","Hobbyist","Arch Gaming","Arch Gaming","2105760","https://store.steampowered.com/app/2105760",""
"Abyss Protection","1668747600000","true","76","3.99","149","5.419814600652404","56","Indie","Exbyte Studios","Exbyte Studios","1688520","https://store.steampowered.com/app/1688520",""
"Knights of Fate","1664323200000","false","36","6.99","149","2.9921089122005395","50","Hobbyist","Old Eagle","Old Eagle","1989610","https://store.steampowered.com/app/1989610","1657252800000"
"Сrime Сity","1649822400000","false","296","0.99","149","0.2939737838140919","70","Indie","Quarlellle","Quarlellle","1937600","https://store.steampowered.com/app/1937600",""
"Time Patrol","1644469200000","false","60","4.9","149","0.4215786468042904","100","Indie","VRKiwi","Overon Station","1330690","https://store.steampowered.com/app/1330690",""
"Super Rhythm Duel","1643000400000","false","168","0.99","149","0.3040517822031846","71","Hobbyist","SRD TEAM","SRD TEAM","1180210","https://store.steampowered.com/app/1180210",""
"Voyager","1603771200000","false","69","4.99","149","2.0842845008665174","80","Hobbyist","Toleap Consulting AB","Toleap Consulting AB","1351180","https://store.steampowered.com/app/1351180","1642136400000"
"摆地摊","1626062400000","false","168","0.99","149","0.9005568724425689","60","Hobbyist","皮蛋打番茄","皮蛋打番茄","1676350","https://store.steampowered.com/app/1676350",""
"27 Pages","1609650000000","false","198","1.99","149","2.042348712605345","100","Hobbyist","Jonas Patrik","Jonas Patrik","1459570","https://store.steampowered.com/app/1459570",""
"Grimalkin: Solar Defense Force","1578632400000","true","15","7.99","149","4.708153471735088","100","Hobbyist","Funatic Illuminations","Funatic Illuminations","1076450","https://store.steampowered.com/app/1076450",""
"Blooding Runner X","1571025600000","false","198","0.99","149","0.6561011284646047","100","Indie","CBC Games","CBC Games","1144590","https://store.steampowered.com/app/1144590",""
"Robot terminator","1564113600000","false","168","0.99","149","0.896550059366523","62","Indie","Toplitz","Toplitz","1118940","https://store.steampowered.com/app/1118940",""
"Build buildings","1533873600000","false","290","0.99","149","1.0619973835420082","46","Hobbyist","Flanker43","Flanker43","878660","https://store.steampowered.com/app/878660",""
"Drive Switch Evade","1531368000000","true","69","2.99","149","0.8133057266898635","80","Hobbyist","GreatherGames","GreatherGames","881980","https://store.steampowered.com/app/881980",""
"Fantasyland","1524283200000","false","1","199.99","149","4.069301248657811","14","Hobbyist","Apillo","Apillo","833300","https://store.steampowered.com/app/833300",""
"a nifty game","1595635200000","false","30","6.99","149","1.1710945328336673","100","Hobbyist","Pixel with Hat","Pixel with Hat","591390","https://store.steampowered.com/app/591390","1504238400000"
"TROID BLASTER","1487912400000","false","84","0.99","149","0.8149287514347364","60","Hobbyist","KINGSGUARD GAMES","KINGSGUARD GAMES","600690","https://store.steampowered.com/app/600690",""
"惊魂日记 FrightDiary","1678597200000","false","66","2.99","149","4.392241495023244","92","Hobbyist","Erdos Xuelian Future Technology","Erdos Xuelian Future Technology","1963200","https://store.steampowered.com/app/1963200",""
"Q'Redux","1680235200000","false","15","15","149","0","0","Hobbyist","Team iNtuition","Team iNtuition","1606000","https://store.steampowered.com/app/1606000",""
"Terminal Breach","1681358400000","true","35","4.99","149","3.766507392317274","100","Hobbyist","AcidRain","AcidRain","2111590","https://store.steampowered.com/app/2111590",""
"The Crimson Kingdom","1683172800000","false","35","4.99","149","0.8169116605941694","80","Hobbyist","Gaming Frog Studios","Gaming Frog Studios","2263330","https://store.steampowered.com/app/2263330",""
"Doctor Cat","1689825600000","false","102","1.99","149","0.9735794562155347","100","Hobbyist","Headway Games","Headway Games","2472870","https://store.steampowered.com/app/2472870",""
"Liquid Space Dimension","1699419600000","false","42","4.99","149","2.486499075472158","75","Hobbyist","Puppet Fox","Ben Kramer","2538340","https://store.steampowered.com/app/2538340",""
"The Cost Of Bliss","1704430800000","false","61","2.99","149","1.0000677601023933","100","Hobbyist","Andre David Dev","Andre David Dev","2710580","https://store.steampowered.com/app/2710580",""
"Pookie has a Fantasy!","1707714000000","false","24","7.99","149","2.2408478016993865","100","Hobbyist","Pookie","Pookie","2752230","https://store.steampowered.com/app/2752230",""
"Necrophobia","1713499200000","false","15","14.99","149","8.887164032418928","100","Hobbyist","Sapphire Comics","Sapphire Comics","2906710","https://store.steampowered.com/app/2906710",""
"Animal Bomb Chess","1715486400000","false","93","1.99","149","2.3520942339867768","100","Hobbyist","十二炼机圣EX","十二炼机圣EX","2937810","https://store.steampowered.com/app/2937810",""
"Speed Run","1719201600000","false","15","14.99","149","0.7920778075451493","100","Hobbyist","RED PIXEL STUDIOS","RED PIXEL STUDIOS","3028700","https://store.steampowered.com/app/3028700",""
"Lady's Escape","1723680000000","false","28","6.99","149","2.0500552489663724","33","Hobbyist","Shadow Maiden Games","Shadow Maiden Games","2990180","https://store.steampowered.com/app/2990180",""
"D3AD HAND","1725148800000","false","44","4.99","149","1.5361972793880725","93","Hobbyist","Duck Made Of Wood","Duck Made Of Wood","3140810","https://store.steampowered.com/app/3140810",""
"Fraudster","1726444800000","false","49","3.99","149","1.6001170362112642","100","Hobbyist","Xi Zhang","Xi Zhang","3193520","https://store.steampowered.com/app/3193520",""
"Space Miner - Idle Adventures","1702011600000","true","1879","0","148.05613570499912","17.18783639490682","50","Hobbyist","FrontRunnerTek","FrontRunnerTek","2679860","https://store.steampowered.com/app/2679860",""
"Devil Dead","1671771600000","false","15","4.99","148","0.9829433210510926","0","Hobbyist","Philippe Paillole,Goto 100 Studio","Philippe Paillole,Goto 100 Studio","2067280","https://store.steampowered.com/app/2067280",""
"Vacation Paradise: France Collector's Edition","1668574800000","false","30","9.99","148","19.881713400352037","100","Hobbyist","Point8 Games Inc.","Point8 Games Inc.","2205470","https://store.steampowered.com/app/2205470",""
"Knights vs Nature","1665028800000","false","45","9.99","148","7.072150595757072","100","Hobbyist","Poema Games","Poema Games","2091080","https://store.steampowered.com/app/2091080",""
"NONOGRAM - KAWAII CUTIES","1660795200000","false","147","1.99","148","2.006457332159254","86","Hobbyist","ilyumi Co., Ltd.","ilyumi","2095350","https://store.steampowered.com/app/2095350",""
"PUT PUD Nudli's Adventure","1653624000000","false","114","8.99","148","2.2094969338741133","89","Hobbyist","COMONDOR STUDIO","Bence Pápai,Mór Pápai","1997270","https://store.steampowered.com/app/1997270",""
"Abyss King","1659052800000","false","15","10.99","148","0","100","Hobbyist","Long Pot","Long Pot","1641820","https://store.steampowered.com/app/1641820","1651550400000"
"Emperial Knights","1650427200000","false","36","9.99","148","0","50","Hobbyist","Yacine Kalache","Yacine Kalache","1688600","https://store.steampowered.com/app/1688600","1678852800000"
"10K & The Kriminal World - Sammy's Attack","1648094400000","true","15","10.99","148","0","100","Hobbyist","Neverland Digital Entertainment","Neverland Digital Entertainment","1578380","https://store.steampowered.com/app/1578380",""
"月夜赞歌 Melody in the moonlight","1644469200000","false","288","0.99","148","2.179359914415142","74","Hobbyist","Rolling Cat Studio,GKLKK","Rolling Cat Studio","1874780","https://store.steampowered.com/app/1874780",""
"Milo","1643778000000","false","45","3.99","148","0.5901783307090585","100","Hobbyist","Mauro Falcone","Mauro Falcone","1845460","https://store.steampowered.com/app/1845460",""
