"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"COVID Kawaii!","1590638400000","1671944400000","false","189","14.99","1054","6.895944810189912","93","Hobbyist","Wade Arcade","Wade Arcade","1313700","https://store.steampowered.com/app/1313700"
"Imprisoned Hyperion","1668056400000","","false","108","14.99","1054","1.6120052944428551","50","Hobbyist","Arbatskii Anatolii","Arbatskii Anatolii","1617890","https://store.steampowered.com/app/1617890"
"Trigger Henry","1666929600000","1694404800000","false","176","7.99","1054","1.3573153438388583","100","Hobbyist","PrimePhaseGames","PrimePhaseGames","2063580","https://store.steampowered.com/app/2063580"
"Seek Hearts","1575349200000","","false","92","14.99","1054","8.844900075447734","83","Indie","KEMCO","Exe Create Inc.","1176590","https://store.steampowered.com/app/1176590"
"Life is Pointless","1549256400000","","false","1830","0.99","1054","91.97327798409836","86","Hobbyist","Will deManbey","Will deManbey","1011130","https://store.steampowered.com/app/1011130"
"Invisible Apartment 2","1443067200000","","false","180","4.99","1054","1.1056095858332637","100","Hobbyist","Vysoko Anime Production","Milan Kazarka,Jeroen van Oosten","401200","https://store.steampowered.com/app/401200"
"Walk with the Living 2","1673586000000","","false","135","9.99","1054","4.035782448713208","100","Hobbyist","Cole Brayfield","Cole Brayfield","2094890","https://store.steampowered.com/app/2094890"
"Ultra Blade","1677214800000","","true","392","2.99","1054","3.346947882462504","80","Hobbyist","Kyle Barrett","Kyle Barrett","2165420","https://store.steampowered.com/app/2165420"
"Alien Protection","1686196800000","","false","137","4.99","1054","0.5938281024246177","77","Indie","wow wow Games","wow wow Games","2439000","https://store.steampowered.com/app/2439000"
"Savage Age","1712116800000","","false","97","14.99","1054","2.7755738108593633","96","Indie","indienova","HiddenBlade Studio","2080140","https://store.steampowered.com/app/2080140"
"Ducky: The Brave","1719374400000","","false","392","2.99","1054","1.8772712373199956","88","Hobbyist","STUDIO MIZI","STUDIO MIZI","3012210","https://store.steampowered.com/app/3012210"
"circloO","1668402000000","","false","352","4.99","1053","53.464814339066464","94","Indie","Florian van Strien","Florian van Strien","2195630","https://store.steampowered.com/app/2195630"
"SOK PRO","1602561600000","","false","1836","4.99","1053","3.0149258103820533","90","Indie","Siberian Mouse","Siberian Mouse","1399300","https://store.steampowered.com/app/1399300"
"Agartha","1553054400000","","false","216","7.99","1053","2.28229094497007","73","Indie","Fruitbat Factory","Shindenken","1002420","https://store.steampowered.com/app/1002420"
"Naturallandscape - Three Gorges (自然景观系列-长江三峡)","1521172800000","","false","190","1.99","1053","0.4231850958253857","57","Indie","Magicvalley Studio","Magicvalley Studio","817950","https://store.steampowered.com/app/817950"
"Battle of Hořice 1423","1681704000000","","true","207","5.99","1053","0.7856280826172964","65","Hobbyist","Petr Šimůnek","Petr Šimůnek","2326960","https://store.steampowered.com/app/2326960"
"Skyward","1648872000000","","false","90","13.99","1052","1.7541508722502552","43","Hobbyist","Whiley Koyote","Whiley Koyote","665560","https://store.steampowered.com/app/665560"
"The Dawning Clocks Of Time","1631073600000","","false","308","24.99","1052","2.7193271253834728","89","Hobbyist","Spacefarer R&D Ltd.","Spacefarer R&D Ltd.","1730630","https://store.steampowered.com/app/1730630"
"Toby's Island","1575003600000","1694750400000","false","120","9.99","1052","13.030287398537089","100","Hobbyist","Mvisioning","Mvisioning","331430","https://store.steampowered.com/app/331430"
"Solitaire VR","1492660800000","","false","708","1.99","1052","2.1644272891320293","88","Hobbyist","Tripp, LLC","Babaroga, LLC","570590","https://store.steampowered.com/app/570590"
"Whispered Secrets: The Story of Tideville Collector's Edition","1485907200000","1481259600000","false","171","9.99","1052","2.9736697449464433","56","Indie","Big Fish Games","Grandma Studios","564450","https://store.steampowered.com/app/564450"
"FILE 9","1475208000000","","false","72","59.99","1052","0.41798807293361595","29","Hobbyist","Cypress Inheritance, LLC","Cypress Inheritance, LLC","536800","https://store.steampowered.com/app/536800"
