"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"The Crows Cry","1625025600000","false","108","4.99","485","0.7042687693786571","17","Hobbyist","Cooper Bruchez","Cooper Bruchez","1638910","https://store.steampowered.com/app/1638910",""
"Roguely","1624593600000","false","90","5.99","485","4.750306992649372","100","Hobbyist","SQRL Studios","SQRL Studios","1542820","https://store.steampowered.com/app/1542820",""
"Hard Steel","1623729600000","true","90","5.99","485","0.12690476190476196","43","Hobbyist","Prestige Games","Prestige Games","1652510","https://store.steampowered.com/app/1652510",""
"Scraftion","1623384000000","true","36","14.99","485","0","50","Hobbyist","M.R. Software","M.R. Software","1616740","https://store.steampowered.com/app/1616740",""
"Kaiju Crush","1621224000000","false","54","9.99","485","0.778507266642434","33","Hobbyist","Bwillett Comics","Bwillett,Scullysaurus","1602590","https://store.steampowered.com/app/1602590",""
"Super Chopper","1619496000000","false","54","9.99","485","0.22479166666666664","25","Indie","Ziggurat","Webfoot","1373560","https://store.steampowered.com/app/1373560",""
"Deadzone: Exodus","1604984400000","false","45","24.99","485","1.791610192336021","100","Hobbyist","Alexander Žolnai","Alexander Žolnai,HQK Group","1455490","https://store.steampowered.com/app/1455490","1618459200000"
"Slurkum","1615266000000","true","54","9.99","485","0.8229129680025048","20","Hobbyist","Cohesive","Ark Valley Gaming","1302480","https://store.steampowered.com/app/1302480",""
"Portals World","1614229200000","true","54","9.99","485","1.7255239968826106","20","Hobbyist","Mind Power","Mind Power","1373230","https://store.steampowered.com/app/1373230",""
"Animal Drop Safari","1614142800000","false","112","6.99","485","6.079716729955628","88","Indie","HH-Games","Anawiki Games","1541530","https://store.steampowered.com/app/1541530",""
"Bloomee","1617148800000","false","36","14.99","485","0","50","Hobbyist","x-climb, Inc.","x-climb, Inc.","1507770","https://store.steampowered.com/app/1507770","1610427600000"
"Ralf's Adventure: Aztec Mystery","1609822800000","false","36","5.99","485","1.3063696431888965","50","Hobbyist","Crimson Rays","Crimson Rays","1438430","https://store.steampowered.com/app/1438430",""
"Playing Pride & Prejudice 1: An Austen Armoire","1608008400000","false","60","11.99","485","1.2334177781107751","100","Hobbyist","Minerva Interactive","MInerva Interactive","1469700","https://store.steampowered.com/app/1469700",""
"Hyper Psychic Gauntlets","1606971600000","false","60","8.99","485","0.9772760571542776","100","Hobbyist","SpinVR.ca","SpinVR.ca","1419360","https://store.steampowered.com/app/1419360",""
"Crazy Mafioso","1603684800000","false","448","2.99","485","1.4916618085755158","88","Indie","Rabotiagi games","Rabotiagi games","1444890","https://store.steampowered.com/app/1444890","1605502800000"
"Gallic Wars: Violens Annalis","1603944000000","false","75","8.99","485","8.04353877078828","67","Hobbyist","白新社","白新社","1446830","https://store.steampowered.com/app/1446830",""
"Artifacts","1593748800000","false","297","3.99","485","1.727114017369664","73","Hobbyist","Self Published","Eric Laber","1340770","https://store.steampowered.com/app/1340770","1600142400000"
"Shikari Rising","1593057600000","true","45","4.99","485","4.056012497769925","100","Hobbyist","BlosSum Games","BlosSum Games","1337660","https://store.steampowered.com/app/1337660",""
"Chuhou Joutai","1590033600000","false","60","4.99","485","3.1657345576283453","100","Hobbyist","Drillimation Systems","Drillimation Systems","1220520","https://store.steampowered.com/app/1220520",""
"Synthetic Blood: Mind Shift","1582693200000","false","279","2.99","485","2.1305344704221767","71","Hobbyist","5thFloorGamingDev","5thFloorGamingDev","1234850","https://store.steampowered.com/app/1234850",""
"Corporated Robots Wars","1581570000000","false","36","0.99","485","0","33","Hobbyist","MonoBrand","MonoBrand","1233600","https://store.steampowered.com/app/1233600",""
"NOXIAM -miserable sinners-","1573707600000","false","54","9.99","485","1.2850004047663028","33","Hobbyist","Sanwa Solution","Sanwa Solution,NOXIS Project","1096340","https://store.steampowered.com/app/1096340","1581483600000"
"HVAC Simulator","1564545600000","false","54","5.99","485","0.3623567914803765","33","Hobbyist","InsanityGameStudios","InsanityGameStudios","1116500","https://store.steampowered.com/app/1116500","1578286800000"
