"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"ERO TRAP DUNGEON ROGUELIKE","1720569600000","false","1935","14.99","26105","8.911898169477928","84","Indie","Ketchup AjiNo Mayonnaise","Ketchup AjiNo Mayonnaise","3016750","https://store.steampowered.com/app/3016750",""
"Luckslinger","1437019200000","false","4856","9.99","26102","5.756144868430374","82","Indie","Duckbridge","Duckbridge","358810","https://store.steampowered.com/app/358810",""
"Greed: Black Border","1263358800000","false","15330","4.99","26092","2.337965220161463","43","Indie","Clockstone","Clockstone","46400","https://store.steampowered.com/app/46400",""
"Curt Maddox","1693368000000","false","3601","7.99","26090","2.71885170930639","88","Indie","Lesson of Passion","Lesson of Passion","2198000","https://store.steampowered.com/app/2198000",""
"万界之门","1646715600000","true","2759","15.99","26088","8.030454668179203","77","Indie","INDIECN","焰之莲工作室","1787920","https://store.steampowered.com/app/1787920",""
"Warehouse and Logistics Simulator","1393304400000","false","6229","5.99","26088","1.674911216799054","37","Indie","United Independent Entertainment","app2fun","273940","https://store.steampowered.com/app/273940",""
"World Boxing Manager","1481259600000","false","6323","4.99","26080","39.04402081191889","59","Indie","Aggroblakh","Aggroblakh","563750","https://store.steampowered.com/app/563750",""
"Mars Colony: Frontier","1443153600000","false","3213","4.99","26074","8.971967165659114","40","Indie","HyperKat Games","HyperKat Games","394840","https://store.steampowered.com/app/394840",""
"Beat Slayer","1712203200000","false","1685","19.99","26074","4.45498915651708","95","Indie","ByteRockers' Games,Paras Games","ByteRockers' Games","2089830","https://store.steampowered.com/app/2089830",""
"Voronica Cleans House: a Vore Adventure","1632456000000","false","2520","12.99","26070","4.7597410967223555","86","Indie","Heedless","Heedless","1634950","https://store.steampowered.com/app/1634950",""
"Creeper World: Anniversary Edition","1479272400000","false","15763","4.99","26069","18.986382439085258","97","Indie","Knuckle Cracker","Knuckle Cracker","422910","https://store.steampowered.com/app/422910",""
"Flying Hero VR","1592539200000","false","3119","9.99","26068","11.005173929714585","83","Indie","Red Android,EpiXR Games UG","Red Android,EpiXR Games UG","1314300","https://store.steampowered.com/app/1314300","1604638800000"
"Dogolrax","1487912400000","false","14463","4.99","26066","1.2194717884329433","70","Indie","Team Shuriken","Team Shuriken","599960","https://store.steampowered.com/app/599960",""
"Nancy Drew®: The Haunting of Castle Malloy","1385856000000","false","8844","6.99","26064","6.908284262841175","82","Indie","HeR Interactive","HeR Interactive","31910","https://store.steampowered.com/app/31910","1247803200000"
"Deadtime Defenders","1581984000000","true","1932","14.99","26064","17.31964677126223","79","Indie","Ravenous Games Inc.","Ravenous Games Inc.","1148700","https://store.steampowered.com/app/1148700",""
"Highlands","1429588800000","false","5149","4.99","26057","8.93014863457592","82","Indie","Burrito Studio","Burrito Studio","359920","https://store.steampowered.com/app/359920",""
"Metel - Horror Escape","1598846400000","true","27954","2.99","26054","4.501130470688112","95","Indie","Linked Squad","Anton Shuligin","1357870","https://store.steampowered.com/app/1357870",""
"Seals of the Bygone","1584072000000","true","2560","12.99","26050","11.086872871658716","86","Indie","rologfos","rologfos","1093790","https://store.steampowered.com/app/1093790",""
"Kill The Plumber","1451538000000","false","7656","4.99","26038","2.939925794815189","69","Indie","Tekitown","Keybol,Iskander Aminov","420070","https://store.steampowered.com/app/420070",""
"Monster Girl's Labyrinth","1636434000000","false","10170","2.99","26027","0.46159957701017357","96","Indie","Asephy","Asephy,Jchoco","1789470","https://store.steampowered.com/app/1789470",""
"Guns of Infinity","1459224000000","false","6910","7.99","26019","15.883927338828576","97","Indie","Hosted Games","Hosted Games","446330","https://store.steampowered.com/app/446330",""
"Lost Lands: Sand Captivity Collector's Edition","1670562000000","false","3804","9.99","26017","9.253140777626758","84","Indie","FIVE-BN GAMES","FIVE-BN GAMES","2098090","https://store.steampowered.com/app/2098090",""
"Under Lock","1610427600000","true","3036","9.99","26015","3.8908806358370733","69","Indie","NioTum","NioTum","1279330","https://store.steampowered.com/app/1279330",""
"The Myth Seekers: The Legacy of Vulcan","1502337600000","false","6536","14.99","26015","3.2228978339398844","85","Indie","Artifex Mundi","Sunward Games","657040","https://store.steampowered.com/app/657040",""
"Elf Discipline Ceremony","1708664400000","false","3391","10.99","26011","1.317552945322416","69","Indie","072 Project","Flag shadow","2696060","https://store.steampowered.com/app/2696060",""
"Deathbloom: Chapter 1","1557979200000","false","4085","9.99","26009","2.8866878249925088","83","Indie","Vincent Lade","Vincent Lade","1058560","https://store.steampowered.com/app/1058560",""
"Stalingrad","1427256000000","false","19038","4.99","26002","6.662615285394361","89","Indie","Fulqrum Publishing","DTF games","356260","https://store.steampowered.com/app/356260",""
"Australian Football Coach 2023-24","1678338000000","false","1577","19.99","25987","21.470146825857793","81","Indie","Statto Software","Statto Software","2238710","https://store.steampowered.com/app/2238710",""
"The Orchard of Stray Sheep","1466395200000","false","7051","9.99","25980","3.3004337545534552","72","Indie","Sekai Project","Namaage","485340","https://store.steampowered.com/app/485340",""
"Putt-Putt® Goes to the Moon","1399262400000","false","7040","6.99","25977","1.8552240704898577","93","Indie","Humongous Entertainment,Nightdive Studios","Humongous Entertainment","294650","https://store.steampowered.com/app/294650",""
"HunterX: code name T","1702270800000","false","2074","16.99","25976","9.579524898848087","89","Indie","ORANGE POPCORN","ORANGE POPCORN","2680330","https://store.steampowered.com/app/2680330",""
"Starters Orders Classic Horse Racing","1583557200000","false","1266","29.99","25971","75.93003731508915","70","Indie","Strategic Designs Ltd.","Strategic Designs Ltd.","1236530","https://store.steampowered.com/app/1236530",""
"Dead Purge: Outbreak","1499918400000","false","2923","14.99","25971","1.8159538038777332","45","Indie","Microlith Games","Microlith Games","660990","https://store.steampowered.com/app/660990",""
"No More Rainbows","1685592000000","false","1567","19.99","25970","6.696386332348542","92","Indie","Squido Studio","Squido Studio,Robot Teddy","1634100","https://store.steampowered.com/app/1634100",""
"Dungeons and Robots","1456722000000","false","6096","8.99","25961","3.3210131077705807","44","Indie","Glow Games Studio","Glow Games Studio","386650","https://store.steampowered.com/app/386650","1705986000000"
"Forgiveness : Escape Room","1551330000000","false","4044","9.99","25958","1.9929331194258089","67","Indie","Chaos Minds","Chaos Minds","971120","https://store.steampowered.com/app/971120",""
"Hidden Flowers","1632369600000","false","750","199.99","25948","2.249483697905654","9","Indie","Hede Games,Hede","Hede Games","1752830","https://store.steampowered.com/app/1752830",""
"Tea Garden Simulator","1618200000000","false","1980","19.99","25941","2.9941095107294347","72","Indie","SYV Games LLP","Flying Robot Studios","1401340","https://store.steampowered.com/app/1401340","1691985600000"
"Isabella: Chasing Shadows","1718942400000","true","2796","11.99","25937","2.685650063901569","90","Indie","Badtimetales","Badtimetales","2703180","https://store.steampowered.com/app/2703180",""
"AL･FINE","1478840400000","false","2368","14.99","25934","3.5905037000858817","39","Indie","Sekai Project","CrimsonRabbit","545330","https://store.steampowered.com/app/545330",""
"Sex Universe [18+]","1715400000000","false","4635","9.99","25932","1.3649850921213325","72","Indie","Octo Games","Octo Games","2888360","https://store.steampowered.com/app/2888360",""
"SOULS","1502683200000","false","7305","7.99","25911","8.547523042686775","93","Indie","Team Fork","Team Fork","677790","https://store.steampowered.com/app/677790",""
"Populous™: The Beginning","1709787600000","false","13111","4.99","25908","8.809286677427716","90","AAA","Electronic Arts","Bullfrog Productions","2616430","https://store.steampowered.com/app/2616430",""
