"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"Matanga 2","1632456000000","false","2107","8.99","6425","17.698941976530705","78","Hobbyist","MATANGA GAMES","MATANGA GAMES","1630360","https://store.steampowered.com/app/1630360",""
"S H R i M P","1605502800000","false","986","9.99","6424","22.715304763400482","88","Hobbyist","Seniattus Studios","Seniattus Studios","1391740","https://store.steampowered.com/app/1391740",""
"Islandville: A New Home","1660176000000","false","905","11.99","6423","9.459081508517382","100","Indie","Best Friend Games","Best Friend Games","1560970","https://store.steampowered.com/app/1560970","1651204800000"
"Reign of the Renegade","1702616400000","false","2071","4.99","6422","10.848304016511612","89","Hobbyist","Dabuoys","Dabuoys","2306530","https://store.steampowered.com/app/2306530",""
"Lifeblood","1533700800000","true","525","14.99","6421","3.406683226467913","58","Hobbyist","Homage Studios","Homage Studios","796340","https://store.steampowered.com/app/796340",""
"Pixel Hunter","1405569600000","false","6329","2.99","6421","1.3557131440073482","44","Hobbyist","Lemondo Entertainment","Lemondo Entertainment","313040","https://store.steampowered.com/app/313040",""
"Micro macro farm","1703048400000","false","2870","2.99","6421","5.68065897272264","78","Hobbyist","Diego Schram","Diego Schram","2685810","https://store.steampowered.com/app/2685810",""
"Airplanes Dogfight Racer","1635393600000","false","144","3.99","6420","1.1842816549547546","71","Hobbyist","Limitless Gamez","Limitless Gamez,Limitless Gamez","1778040","https://store.steampowered.com/app/1778040",""
"No Way Out","1483228800000","false","5215","0.99","6420","4.195399468352385","43","Hobbyist","Fiassink Games","Rafael Farias","572010","https://store.steampowered.com/app/572010","1538625600000"
"Nightmare on Azathoth","1446177600000","false","1536","0.99","6419","1.6975520868571328","57","Hobbyist","Divergent Game Studio","Modesto Rabena","414470","https://store.steampowered.com/app/414470",""
"Shikhondo: Youkai Rampage","1713326400000","false","524","14.99","6419","1.5587517381932987","88","Indie","CFK Co., Ltd.","DeerFarm","2712480","https://store.steampowered.com/app/2712480",""
"Vixens From Outer Space","1546750800000","true","782","11.99","6418","1.1474388614886473","60","Hobbyist","Domus ludus","Domus ludus","855970","https://store.steampowered.com/app/855970",""
"Angel Express [Tokkyu Tenshi]","1468555200000","false","1176","9.99","6418","4.550897748577192","79","Indie","Rockin' Android","Easy Game Station,Starloop Studios S.L.","470480","https://store.steampowered.com/app/470480",""
"Danger Crew","1557115200000","false","999","9.99","6417","3.4985019310175796","98","Hobbyist","Team Danger Crew","Drew Conley,Glenn LaBarre","1064690","https://store.steampowered.com/app/1064690",""
"Wanda - A Beautiful Apocalypse","1464926400000","false","3440","1.99","6417","3.0564270119366386","59","Indie","Kodots Games","Kodots Games","386490","https://store.steampowered.com/app/386490",""
"Sprinter","1456376400000","false","1235","3.99","6417","1.7164847262441076","81","Hobbyist","Light Step Games","Light Step Games","442260","https://store.steampowered.com/app/442260",""
