"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"Ancient Journey VR","1528430400000","false","414","24.99","5246","0.3990744763040247","36","Hobbyist","National ancient journey","National ancient journey","854030","https://store.steampowered.com/app/854030",""
"3D Pool","1466136000000","false","1584","6.99","5246","5.269805322514156","51","Indie","familyplay","Z-Software GmbH","492160","https://store.steampowered.com/app/492160",""
"Town Keeper","1726704000000","false","763","8.99","5246","3.3769673598830967","94","Indie","Napas Torteeka","Napas Torteeka","3104510","https://store.steampowered.com/app/3104510",""
"boxlife","1452747600000","false","6459","0.99","5245","1.913932878388403","79","Hobbyist","tequibo","tequibo","314370","https://store.steampowered.com/app/314370",""
"Tommy Tronic","1288238400000","false","1020","9.99","5244","9.36136744939219","58","Indie","Interplay Inc.","Oasis Games","41660","https://store.steampowered.com/app/41660",""
"Golden Lap","1727308800000","false","432","14.99","5244","0","96","Indie","Funselektor Labs Inc.","Funselektor Labs Inc.,Strelka Games","2052040","https://store.steampowered.com/app/2052040",""
"Talismania Deluxe","1156910400000","false","2100","4.99","5243","5.095599703676888","97","Indie","PopCap Games, Inc.","PopCap Games, Inc.","3460","https://store.steampowered.com/app/3460",""
"Blue Sheep","1459396800000","false","1216","1.99","5242","2.841172832020498","50","Hobbyist","Noetic Games","Noetic Games","409280","https://store.steampowered.com/app/409280",""
"INHUMAN","1658462400000","false","3995","3.99","5241","1.7331310221852247","65","Hobbyist","Qiutaixu studio","Qiutaixu studio","1692290","https://store.steampowered.com/app/1692290","1673413200000"
"A Room Beyond","1456790400000","false","1053","7.99","5241","4.017557759574261","73","Hobbyist","René Bühling","René Bühling","454330","https://store.steampowered.com/app/454330","1497326400000"
"Light Infantry","1627963200000","false","1026","8.99","5239","4.7851685403444","83","Hobbyist","isonosuke","isonosuke","1579310","https://store.steampowered.com/app/1579310",""
"INFECTIS","1570420800000","false","495","12.99","5239","2.0453525370275534","67","Indie","Aegon Games Ltd","Aegon Games Ltd","1145820","https://store.steampowered.com/app/1145820",""
"Deck Casters","1515560400000","false","455","15.99","5239","0.8796261443005974","90","Hobbyist","Rock Nano Global","Rock Nano Global","739050","https://store.steampowered.com/app/739050",""
"Adelantado Trilogy. Book one","1448946000000","false","1770","4.99","5239","25.381697560229835","93","Indie","Qumaron","Qumaron","423600","https://store.steampowered.com/app/423600",""
"Pilot Brothers 3: Back Side of the Earth","1421902800000","false","2232","4.99","5239","2.355123157153052","57","Indie","Fulqrum Publishing","1C Wireless","336780","https://store.steampowered.com/app/336780",""
"TKKG - Die Feuerprobe","1563336000000","false","1221","9.99","5237","5.668743956752797","60","Indie","USM","The Web Production","1104870","https://store.steampowered.com/app/1104870",""
"Echo Tokyo: Phoenix","1553832000000","false","609","4.99","5237","1.549886815867849","46","Indie","Dharker Studios","Dharker Studios","432110","https://store.steampowered.com/app/432110",""
"Bucket Knight","1569556800000","false","1435","4.99","5236","1.3342620420669462","79","Indie","Meridian4","PigeonDev","1077090","https://store.steampowered.com/app/1077090",""
"Fantasy Kommander: Eukarion Wars","1705554000000","false","999","7.99","5236","4.182029688446303","91","Indie","AgeOfGames,Troglobytes Games","AgeOfGames,Untold Games","2500420","https://store.steampowered.com/app/2500420",""
"ItzaBitza","1354320000000","false","609","9.99","5234","19.07923248090964","77","Indie","Sabi Games","Sabi Games","40200","https://store.steampowered.com/app/40200","1254369600000"
"Safety Driving Simulator: Car","1462334400000","false","2475","3.99","5231","1.231730482352309","49","Indie","United Independent Entertainment","United Independent Entertainment","450590","https://store.steampowered.com/app/450590",""
"FURRY Sex Resort 🏝🔞","1721865600000","false","1881","4.99","5230","1.5300281416209063","86","Indie","Furry Tails","Furry Tails","3025790","https://store.steampowered.com/app/3025790",""
"A Writer And His Daughter","1509595200000","false","945","1.99","5229","1.60848931175108","80","Hobbyist","Dimfrost Studio","Dimfrost Studio","698520","https://store.steampowered.com/app/698520",""
"EQDRIVE.IO","1637816400000","false","592","14.99","5226","9.223808477695792","65","Indie","Realityocean Games","Realityocean Games","1658480","https://store.steampowered.com/app/1658480","1657166400000"
"OCO","1628654400000","false","1476","4.99","5222","10.473800737642135","85","Hobbyist","SPECTRUM48","SPECTRUM48","1165450","https://store.steampowered.com/app/1165450",""
"Jacob Jones and the Bigfoot Mystery : Episode 1","1411444800000","false","1742","4.99","5222","2.4366996463300192","100","Hobbyist","Lucid Games Ltd","Lucid Games Ltd","264400","https://store.steampowered.com/app/264400",""
"Windmills","1675314000000","false","732","9.9","5222","5.650190254255846","76","Hobbyist","Poor Locke","Poor Locke","1803760","https://store.steampowered.com/app/1803760",""
"Outbreak: Endless Nightmares","1621396800000","false","837","14.99","5221","2.3291699845734857","45","Indie","Dead Drop Studios LLC","Dead Drop Studios LLC","1419350","https://store.steampowered.com/app/1419350",""
"Wild West Survival","1596168000000","true","490","11.99","5221","4.3203750978462905","65","Hobbyist","Altair Games LLC","Altair Games LLC","1333860","https://store.steampowered.com/app/1333860",""
"Mystery Case Files: The Revenant's Hunt Collector's Edition","1514764800000","false","851","9.99","5221","3.826272389624936","70","Indie","Big Fish Games","Eipix Entertainment","749080","https://store.steampowered.com/app/749080","1511240400000"
"TAURONOS","1501819200000","false","2294","4.99","5221","1.6954912894304994","92","Indie","S.C. 16 BIT NIGHTS S.R.L.","cavalie_ro,S.C. 16 BIT NIGHTS S.R.L.","676240","https://store.steampowered.com/app/676240",""
"A HERO AND A GARDEN","1651723200000","false","1456","4.99","5220","1.7245170782058097","95","Indie","npckc","npckc","1914740","https://store.steampowered.com/app/1914740",""
"My Universe - Pet Clinic Cats & Dogs","1606971600000","false","740","24.99","5220","4.2291294805967965","68","Indie","Microids","It Matters Games","1365400","https://store.steampowered.com/app/1365400",""
"Demolish or Die","1668056400000","false","988","6.99","5218","2.7906113522914677","97","Hobbyist","Occult Software","Douglas Rocha Vasco","2147890","https://store.steampowered.com/app/2147890","1687406400000"
"Forgotten Passages","1579150800000","false","648","9.99","5218","1.5708647021678035","83","Hobbyist","26PM","26PM","1120940","https://store.steampowered.com/app/1120940",""
"祭品的逆襲 The Counterattack Of Sacrifice","1555819200000","false","1064","3.99","5218","1.0081077428256944","89","Hobbyist","alex94i60","戴永翔(Dai Yong Xiang)","979580","https://store.steampowered.com/app/979580",""
"Cyberpunk Sex Simulator","1572580800000","false","2914","1.99","5218","10.072221798257933","70","Indie","Slippy Floor","Slippy Floor","1175950","https://store.steampowered.com/app/1175950",""
