"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"Witch Loraine's Death Game","1572494400000","false","1","3.99","3","0.7546521061155592","100","Hobbyist","Giordano Pacifico","Giordano Pacifico","1169870","https://store.steampowered.com/app/1169870",""
"In The Bag","1572408000000","false","1","3.99","3","0","0","Hobbyist","Lukas Kolesar","Lukas Kolesar","1166430","https://store.steampowered.com/app/1166430",""
"Six Degrees of Damnation","1571889600000","false","1","3.99","3","0","0","Hobbyist","OR Soft","OR Soft","956470","https://store.steampowered.com/app/956470",""
"The Battles of Spwak 2","1571976000000","false","1","3.99","3","0","0","Hobbyist","CM, Vinicius","CM, Vinicius","1173130","https://store.steampowered.com/app/1173130",""
"Biomagnet","1571284800000","false","1","3.99","3","0","0","Hobbyist","Mon ga","I donnt know","1163610","https://store.steampowered.com/app/1163610",""
"Earthlings Must Die","1571025600000","false","1","3.99","3","0.6744509576542562","0","Hobbyist","Wild Wolf","Wild Wolf","1162330","https://store.steampowered.com/app/1162330",""
"Happy STG","1569816000000","false","1","3.99","3","3.276988382254284","100","Hobbyist","Tomoyuki Mizuma","Tomoyuki Mizuma","1153580","https://store.steampowered.com/app/1153580",""
"Project Plainsight","1569556800000","true","1","3.99","3","0","0","Hobbyist","Eliteteams","Eliteteams Interactive","811790","https://store.steampowered.com/app/811790",""
"Bloxicus","1568952000000","false","1","3.99","3","1.6858491997363105","100","Hobbyist","Square Gem Software","Square Gem Software","1152910","https://store.steampowered.com/app/1152910",""
"Chronophobia","1568347200000","false","1","3.99","3","0","100","Hobbyist","Monkehs Studios","Monkehs Studios","925330","https://store.steampowered.com/app/925330",""
"Gem Collector","1567310400000","true","1","3.99","3","0.9875490089217158","60","Hobbyist","Koto Games","Koto Games","1137820","https://store.steampowered.com/app/1137820",""
"From lamer to guru","1567224000000","false","1","3.99","3","0","0","Hobbyist","Bondarenko Andrii","Bondarenko Andrii","1122770","https://store.steampowered.com/app/1122770",""
"Charge","1565928000000","false","1","3.99","3","0","0","Hobbyist","Ilyushquette Games","Ilyushquette Games","1095980","https://store.steampowered.com/app/1095980",""
"Wandering Gem Jockeying","1566187200000","false","1","3.99","3","0.5369152691637963","80","Hobbyist","sinis","sinis","1131490","https://store.steampowered.com/app/1131490",""
"61 Days","1565064000000","false","1","3.5","3","0","0","Hobbyist","jormungandalf1","jormungandalf1","1119820","https://store.steampowered.com/app/1119820",""
"老板攻略","1564459200000","false","1","3.99","3","1.6952417162241107","100","Hobbyist","空谷游戏","空谷游戏","1115020","https://store.steampowered.com/app/1115020",""
"Everyone Goes Home","1564459200000","false","1","3.99","3","0.7895304132769404","100","Hobbyist","IndieNorthSix","IndieNorthSix","1100840","https://store.steampowered.com/app/1100840",""
"The Tales of Epicton Kingdom","1564286400000","true","1","3.99","3","0","0","Hobbyist","Common Visual Entertainment","Common Visual Entertainment","1109960","https://store.steampowered.com/app/1109960",""
"My Planet [RTS]","1564027200000","false","1","3.99","3","0","100","Hobbyist","Aurora","Aurora","1115090","https://store.steampowered.com/app/1115090",""
"Energy Hunter Boy","1562558400000","false","1","3.99","3","0","0","Hobbyist","Blue Aura Games","Blue Aura Games","1088980","https://store.steampowered.com/app/1088980",""
"World's Nicht","1561608000000","false","1","3.99","3","0","0","Hobbyist","Solstinox Games","Solstinox Games","1101330","https://store.steampowered.com/app/1101330",""
"KLAC","1561435200000","true","1","3.99","3","0","0","Hobbyist","Nonostante Games","Nonostante Games","1102030","https://store.steampowered.com/app/1102030",""
"Banished Monsters","1561176000000","false","1","3.99","3","0","100","Hobbyist","VTC","VTC","1097830","https://store.steampowered.com/app/1097830",""
"Maldrin Journey","1559707200000","false","1","3.99","3","0","0","Hobbyist","Blurstar Games","Blurstar Games","1070400","https://store.steampowered.com/app/1070400",""
"Hyper Bit Chasm","1559534400000","false","1","3.99","3","0.3358333333333336","100","Hobbyist","Michael Johnson","Michael Johnson","1081490","https://store.steampowered.com/app/1081490",""
"Pocket Assault","1559534400000","false","1","3.99","3","0","0","Hobbyist","Titanomachy Studios","Titanomachy Studios","653130","https://store.steampowered.com/app/653130",""
"Otiiz's adventure 2","1559102400000","false","1","3.99","3","0","0","Hobbyist","BXTT studio","BXTT studio","1079870","https://store.steampowered.com/app/1079870",""
