"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Arcanium: Rise of Akhan","1607403600000","1663732800000","false","20930","19.99","221997","20.391701765844296","82","Indie","Rogue Games, Inc.","Supercombo, Inc.","1056840","https://store.steampowered.com/app/1056840"
"Bridge Constructor","1381896000000","","false","70752","9.99","221973","2.755645208870198","76","Indie","Headup","ClockStone","250460","https://store.steampowered.com/app/250460"
"HAWKED","1701320400000","1707973200000","false","176544","0","221904","10.192696248262967","55","Indie","MY.GAMES,The 4 Winds Entertainment (MENA and Turkey)","MY.GAMES","1955960","https://store.steampowered.com/app/1955960"
"The Invisible Hand","1620360000000","","false","33588","12.99","221768","5.941453543621213","81","Indie","Fellow Traveller","Power Struggle Games","628200","https://store.steampowered.com/app/628200"
"Riven (1997)","1280894400000","","false","69091","5.99","221651","4.960249142364342","89","Indie","Cyan Worlds Inc","Cyan Worlds Inc","63610","https://store.steampowered.com/app/63610"
"Precipice of Darkness, Episode One","1288569600000","1295499600000","false","32072","7.99","221464","3.3677902217272973","89","Indie","Hothead Games","Hothead Games","18000","https://store.steampowered.com/app/18000"
"Stock Car Extreme","1423630800000","","false","19127","14.99","221359","15.322774215542797","87","Indie","Reiza Studios","Reiza Studios","273840","https://store.steampowered.com/app/273840"
"Majesty 2","1253160000000","","false","55657","9.99","221349","11.268714247901494","70","AAA","Paradox Interactive","1C:InoCo","25980","https://store.steampowered.com/app/25980"
"Chasing Sunsets","1644814800000","1723939200000","false","25694","14.99","221285","15.752818963780392","94","Indie","Stone Fox Studios","Stone Fox Studios","1783110","https://store.steampowered.com/app/1783110"
"Garden of the Sea (VR)","1560139200000","1642050000000","false","28854","24.99","221157","5.971380175689049","94","Indie","Neat Corporation","Neat Corporation","1086850","https://store.steampowered.com/app/1086850"
"Earthling's Undertaking","1661400000000","1690344000000","false","27918","15.99","221156","17.649987539333733","69","AA","IndieArk","Masses Studio","1729410","https://store.steampowered.com/app/1729410"
"Wavetale","1670821200000","","false","14722","29.99","221113","3.2809934235684777","90","Indie","Thunderful Publishing","Thunderful Development","1823930","https://store.steampowered.com/app/1823930"
"Noctuary","1701147600000","","false","10922","29.99","220953","14.021908305015568","95","Indie","Gratesca","Gratesca","2143680","https://store.steampowered.com/app/2143680"
"planetarian HD","1494216000000","","false","55124","9.99","220885","3.1708693623090447","99","Indie","VisualArts","VisualArts/Key","623080","https://store.steampowered.com/app/623080"
"Weed Shop 2","1490846400000","","false","41853","9.99","220858","68.60261136870103","87","Indie","Weed Games","ADhD Studios","617700","https://store.steampowered.com/app/617700"
"Jets'n'Guns 2","1544504400000","1595563200000","false","22288","15.99","220647","9.245205997217699","91","Indie","Rake in Grass","Rake in Grass","830820","https://store.steampowered.com/app/830820"
"Hero Generations","1428638400000","","false","25051","5.99","220590","2.796524984641919","55","Indie","Heart Shaped Games LLC","Heart Shaped Games LLC","295590","https://store.steampowered.com/app/295590"
"Space Empires V","1160971200000","","false","34464","14.99","220527","17.53019333729602","71","Indie","Strategy First","Malfador Machinations","1690","https://store.steampowered.com/app/1690"
"Path of Achra","1682913600000","1715054400000","false","27172","9.99","220506","29.211699104492656","99","Indie","Slouching Beast LLC","Ulfsire","2128270","https://store.steampowered.com/app/2128270"
"METAL GEAR SOLID: MASTER COLLECTION Vol.1 BONUS CONTENT","1698120000000","","false","4030","59.99","220412","2.795545443537409","51","AA","KONAMI","KONAMI","2306740","https://store.steampowered.com/app/2306740"
"Cladun X2","1344916800000","","false","16438","9.99","220369","9.79426928369538","64","Indie","NIS America, Inc.","System Prisma","206250","https://store.steampowered.com/app/206250"
"Desert Skies","1559188800000","","true","13142","19.99","220286","6.960047322520437","64","Indie","White_Rabbit_Games","White_Rabbit_Games","1048950","https://store.steampowered.com/app/1048950"
"Tech Support: Error Unknown","1551243600000","","false","43213","9.99","220275","3.899239245453491","75","Indie","Iceberg Interactive","Dragon Slumber","781480","https://store.steampowered.com/app/781480"
"Lightblade VR","1464667200000","","false","56539","3.99","220208","6.265518548814428","79","Indie","Andreas Hager Gaming","Andreas Hager Gaming","477270","https://store.steampowered.com/app/477270"
"Electronauts - VR Music","1533614400000","","false","18564","19.99","220105","2.182213222980198","92","Indie","Survios","Survios","691160","https://store.steampowered.com/app/691160"
"Pepper Grinder","1711598400000","","false","18769","14.99","220087","3.1092299020427623","0","AA","Devolver Digital","Ahr Ech,MP2 Games","2076580","https://store.steampowered.com/app/2076580"
"Tanki Online","1488430800000","","false","570529","0","220045.48926424986","6.599358406545248","62","Indie","APL Publishing Ltd.","Alternativa Game Ltd.","562010","https://store.steampowered.com/app/562010"
"Nancy Drew®: Mystery of the Seven Keys™","1718856000000","","false","7637","32","219945","7.3303536511720075","59","Indie","HeR Interactive","HeR Interactive","1926590","https://store.steampowered.com/app/1926590"
"Circuits","1397707200000","","false","159968","4.99","219793","3.286279307866794","89","Indie","Digital Tentacle","Digital Tentacle","282760","https://store.steampowered.com/app/282760"
"ExoCross","1597118400000","1721606400000","false","8310","29.99","219755","5.575414032926075","70","Indie","iRacing.com Motorsport Simulations,iRacing","iRacing.com Motorsport Simulations,iRacing","773840","https://store.steampowered.com/app/773840"
"Paper Bride 4 Bound Love","1682568000000","","false","30674","9.99","219752","3.8132415257803345","80","Indie","HeartBeat Plus","HeartBeat Plus","2286770","https://store.steampowered.com/app/2286770"
"DubWars","1401580800000","1468900800000","false","20539","9.99","219710","2.857274279471044","78","Indie","WOBBL3 Entertainment LLC","MURA Interactive","290000","https://store.steampowered.com/app/290000"
"Sisters: Last Day of Summer","1717387200000","","false","10597","24.99","219637","2.9290365615462854","85","Indie","JAST","Jellyfish","2781750","https://store.steampowered.com/app/2781750"
"Mage and Monsters","1665547200000","","false","75106","4.99","219614","4.713053098672039","91","Indie","Lasse Zacho Malver","Lasse Zacho Malver","1950440","https://store.steampowered.com/app/1950440"
"STAR WARS™ Rebellion","1456808400000","","false","87313","5.99","219609","17.965640277696522","89","AA","LucasArts,Lucasfilm,Disney","Coolhand Interactive","441550","https://store.steampowered.com/app/441550"
"Struggling","1598500800000","","false","20211","14.99","219594","3.0119625458530397","87","Indie","Frontier Foundry","Chasing Rats Games","1035560","https://store.steampowered.com/app/1035560"
"吞食孔明传 Tunshi Kongming Legends","1554091200000","","false","42441","9.99","219527","27.796089752873876","72","Indie","Phoenix Games","Sunny Show","929200","https://store.steampowered.com/app/929200"
"OBEY","1430438400000","1589256000000","false","21595","7.99","219503","3.5879783970330292","84","Indie","The Lo-Fi Apocalypse, Inc.","Dez","346970","https://store.steampowered.com/app/346970"
"Cyber Knights: Flashpoint","1697515200000","","true","10504","29.99","219419","21.356856077945018","94","Indie","Trese Brothers","Trese Brothers","1021210","https://store.steampowered.com/app/1021210"
"Death Come True","1594958400000","","false","16427","15.99","219244","1.986863890622042","78","Indie","IzanagiGames","IzanagiGames,Too Kyo Games,ESQUADRA,inc.","1321070","https://store.steampowered.com/app/1321070"
"BDSM: Big Drunk Satanic Massacre","1570680000000","","false","35633","19.99","218938","3.309215601427101","88","Indie","Big Way Games","Big Way Games","669950","https://store.steampowered.com/app/669950"
"World Warfare & Economics","1703048400000","","true","9342","29.99","218918","13.151356711391117","68","Indie","Okron Studio","Okron Studio","1700300","https://store.steampowered.com/app/1700300"
"Necronator: Dead Wrong","1581570000000","1596081600000","false","15085","19.99","218896","9.124540131997119","69","Indie","Modern Wolf","Toge Productions","1144970","https://store.steampowered.com/app/1144970"
"SUPER BOMBERMAN R 2","1694577600000","","false","5436","49.99","218826","15.407739663333487","55","AA","KONAMI","KONAMI","1913740","https://store.steampowered.com/app/1913740"
"Dyscourse","1404172800000","1427256000000","false","27601","14.99","218791","3.470688869684527","78","Indie","Owlchemy Labs","Owlchemy Labs","234920","https://store.steampowered.com/app/234920"
"BMX The Game","1598587200000","","true","11407","24.99","218776","5.186599929771285","59","Indie","Barspin Studios","Barspin Studios","987150","https://store.steampowered.com/app/987150"
"Car Mechanic Simulator VR","1623124800000","","false","18635","19.99","218618","2.9571587301030435","58","AA","PlayWay S.A.","GameFormatic S.A.,Red Dot Games","1088770","https://store.steampowered.com/app/1088770"
"Children of the Nile: Enhanced Edition","1222056000000","","false","35094","7.99","218608","22.563451443764617","83","Indie","Tilted Mill Entertainment, Inc.","Tilted Mill Entertainment, Inc.","17100","https://store.steampowered.com/app/17100"
"Warlocks vs Shadows","1425168000000","1439956800000","false","24203","13.99","218507","4.0830554217662565","61","Indie","ONE MORE LEVEL","Frozen District","330270","https://store.steampowered.com/app/330270"
"Triple Town","1354770000000","","false","52161","9.99","218479","15.89169699854962","92","Indie","Spry Fox LLC","Spry Fox LLC","209950","https://store.steampowered.com/app/209950"
