"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"The Devils - A Visual Novel Of WWII","1640235600000","false","30","1.99","53","0.34125000000000016","100","Hobbyist","Deep State Games","William Volk","1841220","https://store.steampowered.com/app/1841220",""
"Running Challenge","1640149200000","false","60","0.99","53","0.5035914797978929","100","Indie","Enaayah Software Development and Services Private Limited","Enaayah Software Development and Services Private Limited","1389780","https://store.steampowered.com/app/1389780",""
"Inner Light","1638334800000","false","15","3.99","53","0","100","Hobbyist","iNFINITE Production","iNFINITE Production","1380160","https://store.steampowered.com/app/1380160",""
"Atomic Cyclecar Racing","1638248400000","false","60","0.99","53","0.5226700102037034","100","Hobbyist","Studio Prime LLC","Studio Prime LLC","1814150","https://store.steampowered.com/app/1814150",""
"In Shape 2","1637643600000","false","15","3.99","53","1.366550677273753","100","Hobbyist","QuickBobber","QuickBobber","1814100","https://store.steampowered.com/app/1814100",""
"ONNANOKO KEEPER 3","1637643600000","false","30","1.99","53","0","100","Hobbyist","ilyumi Co., Ltd.","ilyumi","1573240","https://store.steampowered.com/app/1573240",""
"Bogdanoff vs. Wojak Simulator","1637384400000","false","30","1.99","53","0.6044011761726688","100","Hobbyist","Tofu Interactive","Kristian Todt","1807320","https://store.steampowered.com/app/1807320",""
"Slot Factory Create and Play - Magic Brewery","1637038800000","false","15","3.99","53","0","0","Hobbyist","Pokies4fun","Pokies4fun","1783100","https://store.steampowered.com/app/1783100",""
"Lame Defenders","1636347600000","true","15","3.99","53","2.144247076026184","0","Hobbyist","LameGames","LameGames","1530580","https://store.steampowered.com/app/1530580",""
"Potion Meister","1620014400000","false","15","3.99","53","0","0","Hobbyist","Hershul Games","Hershul Games","1568470","https://store.steampowered.com/app/1568470","1635825600000"
"HABITAT: Race To Mars","1635220800000","false","15","3.99","53","3.162267108322107","100","Hobbyist","X-Space","Elon Mustard","1652990","https://store.steampowered.com/app/1652990",""
"Captain Jackson","1635220800000","false","30","1.99","53","2.438511516743135","100","Hobbyist","From Gamers","From Gamers","1730150","https://store.steampowered.com/app/1730150",""
"Battle Snakes","1634875200000","false","15","3.99","53","2.566819944521265","100","Hobbyist","Neoceladus Games","Neoceladus Games,Mr. Chocolate Salmon","1610310","https://store.steampowered.com/app/1610310",""
