"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"Celtic Kings: Rage of War","1567656000000","false","5052","4.99","14721","35.302753083891666","90","Indie","Haemimont Games","Haemimont Games","827000","https://store.steampowered.com/app/827000",""
"Celebrity Kombat","1677128400000","false","1977","14.99","14720","1.1722132501896356","70","Indie","Ult.im","Ult.im","2240390","https://store.steampowered.com/app/2240390","1687406400000"
"Draft Day Sports: College Basketball 2024","1709874000000","false","461","34.99","14718","38.63247537127475","80","Indie","Wolverine Studios","Wolverine Studios","2810880","https://store.steampowered.com/app/2810880",""
"AOA Academy","1698724800000","false","1400","14.99","14717","8.75468559435899","47","Indie","TrueLove Games","TrueLove Games","2578530","https://store.steampowered.com/app/2578530",""
"-KLAUS-","1548219600000","false","2960","4.99","14715","3.424627026991212","89","Indie","La Cosa","La Cosa","729370","https://store.steampowered.com/app/729370",""
"Yeomna : The Legend of Dongbaek","1659240000000","false","1722","19.99","14711","3.1269536320145086","54","Indie","catnipstudio","catnipstudio","1414470","https://store.steampowered.com/app/1414470",""
"Returner 77","1523419200000","false","3080","7.99","14711","3.063101279427535","72","Indie","Fantastic, yes","Fantastic, yes","799810","https://store.steampowered.com/app/799810",""
"AOISHIRO HD REMASTER","1684900800000","false","1284","13.99","14711","8.277519570775661","89","Indie","SUCCESS Corp.","SUCCESS Corp.","2097750","https://store.steampowered.com/app/2097750",""
"Elemental War - A Tower Defense Game","1538352000000","false","1160","14.99","14707","13.071937612629759","74","Indie","Clockwork Origins","Clockwork Origins","917850","https://store.steampowered.com/app/917850","1563508800000"
"D: The Game","1477540800000","false","6160","5.99","14703","1.8554530622976535","87","Indie","Nightdive Studios,Throwback Entertainment","WARP","510590","https://store.steampowered.com/app/510590",""
"Bad Mojo Redux","1404360000000","false","9576","5.99","14702","2.072005162833606","86","Indie","Nightdive Studios","Pulse Entertainment","255960","https://store.steampowered.com/app/255960",""
"Fears of Glasses  o-o","1635998400000","false","510","199.99","14700","15.245451504462038","63","Indie","Hede","Hede","1794740","https://store.steampowered.com/app/1794740",""
"Pretentious Game","1400558400000","false","7197","1.99","14699","1.013522342894603","79","Indie","Keybol","Keybol","279540","https://store.steampowered.com/app/279540",""
"Trace Vector","1408420800000","false","4178","6.99","14697","3.687698485091339","79","Indie","Vexel Games","Vexel Games","297410","https://store.steampowered.com/app/297410",""
"Nock: Hidden Arrow","1477958400000","false","1886","9.99","14693","1.4875752498940187","73","Indie","CodeBison Games","CodeBison Games","525210","https://store.steampowered.com/app/525210","1555473600000"
"Aoi Tori","1719374400000","false","646","29.99","14692","11.81219078878875","100","Indie","NekoNyan Ltd.","Purple software","2741260","https://store.steampowered.com/app/2741260",""
"One Last Chance","1460001600000","false","5551","3.99","14690","3.735773721120912","67","Indie","Last Lotus","Last Lotus","460150","https://store.steampowered.com/app/460150",""
"Freefall Tournament","1529035200000","false","3388","4.99","14683","42.38812207459371","73","Indie","y8.com","y8.com","849940","https://store.steampowered.com/app/849940",""
"Grim wanderings 2","1607317200000","false","3809","5.99","14681","12.910951588008368","78","Indie","Ellinia games","Ellinia games","1477050","https://store.steampowered.com/app/1477050","1631678400000"
"Heroes Never Die","1499313600000","true","816","19.99","14680","0.32304807476639325","20","Indie","FrostbiteGames","FrostbiteGames","633970","https://store.steampowered.com/app/633970",""
"Astral Domine","1462075200000","false","1645","2.99","14678","1.2431058774528878","59","Indie","Spectral Illusions","Spectral Illusions","458990","https://store.steampowered.com/app/458990",""
"Mighty Fling","1595217600000","false","2296","2.99","14677","3.0460757815773905","83","Indie","Hollow Art Studios","Hollow Art Studios","1343920","https://store.steampowered.com/app/1343920",""
"The Waste Land","1410840000000","false","7772","9.99","14675","4.352507968948325","52","Indie","Digital Tribe","Fledermaus","316970","https://store.steampowered.com/app/316970",""
"holedown","1586404800000","false","2067","9.99","14674","10.670005692122297","86","Indie","grapefrukt games","grapefrukt games","1268370","https://store.steampowered.com/app/1268370",""
"Crown Champion: Legends of the Arena","1477022400000","false","12690","4.99","14671","4.067223960042789","80","Indie","GrabTheGames","Pilgrim Adventures","527710","https://store.steampowered.com/app/527710",""
"LIBLADE","1636171200000","false","3441","6.99","14666","4.183681881029719","93","Indie","Eh","Eh","1736300","https://store.steampowered.com/app/1736300",""
"Tea For God","1689739200000","false","1137","19.99","14662","2.690494888964885","95","Indie","void room","void room","1764400","https://store.steampowered.com/app/1764400",""
"Quantum Replica","1527739200000","false","1700","7.99","14660","2.858476474454531","49","Indie","PQube","ON3D Studios","470090","https://store.steampowered.com/app/470090",""
"Kazakh Drive","1602993600000","false","9056","1.99","14658","0.9343880486282384","80","Indie","Mehsoft","Mehsoft","1392600","https://store.steampowered.com/app/1392600",""
"KUUKIYOMI 2: Consider It More! - New Era","1601352000000","false","4116","4.99","14657","1.1888350351826131","85","Indie","G-MODE","G-MODE","1384380","https://store.steampowered.com/app/1384380",""
"Loot Hunter","1421989200000","false","4051","6.99","14656","4.927630756326079","70","Indie","Rake in Grass","Rake in Grass","341470","https://store.steampowered.com/app/341470",""
"Victim of Xen","1400644800000","false","7501","9.99","14656","3.688252358995838","61","Indie","Barnes","Barnes","300220","https://store.steampowered.com/app/300220",""
"Athanasy","1649822400000","false","3470","9.99","14652","5.531909395708571","97","Indie","7DOTS","Wirion","1769320","https://store.steampowered.com/app/1769320",""
"UNKNOWN REGION","1597550400000","true","1248","9.99","14650","6.392935394244044","47","Indie","SYDNEY GAMES","SYDNEY GAMES","1048280","https://store.steampowered.com/app/1048280",""
"Milfy Cases: Damsels in Distress","1684987200000","true","1812","9.99","14646","1.7368982872164198","70","Indie","Mr Big Chungus","Big Chungus Productions","2296590","https://store.steampowered.com/app/2296590",""
"Cats Huddled Together 挤在一起的猫猫们","1702616400000","false","9402","1.99","14645","5.609555980888147","92","Indie","Catnip studio","Catnip studio","2675630","https://store.steampowered.com/app/2675630",""
"Journey to Foundation","1717732800000","false","829","24.99","14645","2.433753665892102","74","Indie","Archiact Interactive Ltd.","Archiact Interactive Ltd.","2950330","https://store.steampowered.com/app/2950330",""
"Food Factory","1660881600000","true","1198","15.58","14642","16.116599470792814","78","Indie","Mosqi Games","Mosqi Games","2019920","https://store.steampowered.com/app/2019920",""
"Late Night 1320","1552622400000","true","1568","8.99","14642","3.8012012044393133","45","Indie","Purple Shadow Interactive","Purple Shadow Interactive","782070","https://store.steampowered.com/app/782070",""
"～Daydream～When butterflies dance","1653537600000","false","3351","9.99","14632","22.31167310792744","83","Indie","Kokutou Umeboshi","Kokutou Umeboshi","1966070","https://store.steampowered.com/app/1966070",""
"Mystery Case Files: The Dalimar Legacy Collector's Edition","1680580800000","false","1773","13.99","14629","4.025004372774814","85","Indie","Big Fish Games","GrandMa studios","2333590","https://store.steampowered.com/app/2333590",""
"Doodle Kingdom","1465444800000","false","6125","8.99","14627","4.220835940578106","45","Indie","JoyBits Ltd.","JoyBits Ltd.","431640","https://store.steampowered.com/app/431640",""
"Hauma - A Detective Noir Story","1694404800000","false","1711","12.49","14625","2.2695081737450726","74","Indie","Assemble Entertainment","SenAm Games","1443470","https://store.steampowered.com/app/1443470",""
"The Impure","1533614400000","true","1925","4.99","14624","1.7125102209550793","89","Indie","Wingjoy Games","Wingjoy Games","896040","https://store.steampowered.com/app/896040",""
"Speebot","1507867200000","false","1301","4.99","14624","2.6504261158977727","80","Indie","KEYREAL","KEYREAL","731320","https://store.steampowered.com/app/731320",""
"Particles of Reality","1695096000000","false","548","29.99","14623","15.08889157250168","91","Indie","Arewar Games","Arewar Games","2128070","https://store.steampowered.com/app/2128070",""
"LOOP: A Tranquil Puzzle Game","1432267200000","false","5064","4.99","14617","39.8694769353594","97","Indie","John Cullen","John Cullen","370150","https://store.steampowered.com/app/370150",""
"The Pleasuremancer","1722902400000","true","893","19.99","14611","7.791579223499271","94","Indie","Mirrodin","Mirrodin","2522850","https://store.steampowered.com/app/2522850",""
"Miko Sniper","1717732800000","false","4130","3.99","14611","5.0715586473276195","95","Indie","holo Indie","さめGames","2971440","https://store.steampowered.com/app/2971440",""
"Zup! Zero 2","1536638400000","false","26942","1.99","14608","4.981274095453644","94","Indie","Quiet River","Quiet River","658550","https://store.steampowered.com/app/658550",""
