"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Apex Defenders","1712635200000","true","1","2.99","2","1.8496422948599427","100","Hobbyist","Geobilgi Games","Geobilgi Games","2844980","https://store.steampowered.com/app/2844980"
"Cube Lands: The Final Wish","1712635200000","false","1","2.99","2","0","0","Hobbyist","SkyHog","SkyHog","2902460","https://store.steampowered.com/app/2902460"
"It's Skrot-Robot Time!","1715745600000","false","1","2.99","2","0","0","Hobbyist","Ice-Cold Shivering Studios","Ice-Cold Shivering Studios","2790590","https://store.steampowered.com/app/2790590"
"It's Slime-Creep Time!","1715572800000","false","1","2.99","2","0","0","Hobbyist","Ice-Cold Shivering Studios","Ice-Cold Shivering Studios","2790550","https://store.steampowered.com/app/2790550"
"Kings And Goblins","1712894400000","false","1","2.99","2","0","100","Hobbyist","Time Paradox Game Studio","Time Paradox Game Studio","2852650","https://store.steampowered.com/app/2852650"
"The Silent Column","1712635200000","false","1","2.99","2","0","0","Hobbyist","Overlooked Option Visual Novels","Overlooked Option Visual Novels","2858220","https://store.steampowered.com/app/2858220"
"Wizards Vs Soldiers And Robots","1712635200000","true","1","2.99","2","0","100","Hobbyist","Astra","Astra","2900890","https://store.steampowered.com/app/2900890"
"Cubik","1713153600000","false","1","2.99","2","0","100","Hobbyist","Sean Chen","Sean Chen","2906800","https://store.steampowered.com/app/2906800"
"Batiman","1712894400000","false","1","2.99","2","0","0","Hobbyist","Steam","BR","2070140","https://store.steampowered.com/app/2070140"
"Emoji Connect","1713326400000","false","1","2.99","2","4.3365566186327325","100","Hobbyist","GAMEZ-STUDIO","jomego76","2886150","https://store.steampowered.com/app/2886150"
"The Beast in the Shadows","1713844800000","false","1","2.99","2","0","100","Hobbyist","Scripting Ventures","Scripting Ventures","2410430","https://store.steampowered.com/app/2410430"
"Bosstack","1713931200000","false","1","2.99","2","0","0","Hobbyist","Catalion","Catalion","2901820","https://store.steampowered.com/app/2901820"
