"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Lord of Darkness: Aftermath","1701493200000","false","18","0.99","9","20.763354814583735","50","Hobbyist","Pixel Lion Studios","Pixel Lion Studios","2531170","https://store.steampowered.com/app/2531170"
"Before Time Runs Out","1704430800000","false","15","0.99","9","1.8602821093581516","0","Hobbyist","CARNAGE PRODUCTION STUDIOS","CARNAGE PRODUCTION STUDIOS","2724520","https://store.steampowered.com/app/2724520"
"The Mask behind the Dream","1706331600000","false","1","10.99","9","5.986040653559855","100","Hobbyist","IdyllsEnd Studios","IdyllsEnd Studios","2609420","https://store.steampowered.com/app/2609420"
"Mr. Mueller's Grand Experiment","1717473600000","false","1","12.99","9","2.168886782111227","100","Hobbyist","Scott Tipton","Scott Tipton","2730790","https://store.steampowered.com/app/2730790"
"FUREA UERZT","1715832000000","false","1","10.99","9","0","50","Hobbyist","PMA Studio","PMA Studio","2715830","https://store.steampowered.com/app/2715830"
"ring of the devil","1704949200000","false","1","10.99","9","0","0","Hobbyist","ring of the devil","ring of the devil","2748540","https://store.steampowered.com/app/2748540"
"ROAD","1705554000000","false","14","0.99","9","0.4950954062449077","100","Indie","Archor Games","Archor Wright","2763020","https://store.steampowered.com/app/2763020"
"Teacher of prophecy","1705554000000","false","1","10.99","9","0","0","Hobbyist","Teacher of prophecy","Teacher of prophecy","2747620","https://store.steampowered.com/app/2747620"
"Only Kick","1705899600000","false","12","0.99","9","0.18687499999999993","100","Hobbyist","JinCycle","JinCycle","2735670","https://store.steampowered.com/app/2735670"
"Five elements for 24!","1706590800000","false","6","1.99","9","0.6991204187717877","90","Hobbyist","魁米乐游戏","魁米乐游戏","2752850","https://store.steampowered.com/app/2752850"
"Pastor's Lake: The Game","1721865600000","true","1","10.99","9","0","0","Hobbyist","KVS Software","KVS Software","2714920","https://store.steampowered.com/app/2714920"
"Atlas Ablaze","1707886800000","true","15","4.99","9","5.612287896210756","100","Hobbyist","WetSock","WetSock","1870930","https://store.steampowered.com/app/1870930"
"The Hell Inside","1711080000000","false","4","2.99","9","2.1979830720586784","100","Hobbyist","GingersoftGames","GingersoftGames","2588390","https://store.steampowered.com/app/2588390"
"Prune & Milo","1720656000000","false","1","10.99","9","3.6656676197005473","100","Indie","JanduSoft","Flocons Studio","2787710","https://store.steampowered.com/app/2787710"
"Last of the Noticers","1708664400000","false","15","0.99","9","0","100","Hobbyist","ProgenitorWorks","ProgenitorWorks","2730120","https://store.steampowered.com/app/2730120"
"Action Fubuki","1708318800000","false","1","10.99","9","0.37454444444444457","75","Hobbyist","Oedipe Games","Eddy CHARLES","2805990","https://store.steampowered.com/app/2805990"
"CRASH MATH","1708578000000","false","16","0.99","9","0.32434822161832505","80","Indie","Archor Games,HOGuru Games!","Archor Wright,HOGuru Games!","2828060","https://store.steampowered.com/app/2828060"
"Marzia lost in space","1708664400000","false","11","0.99","9","0.23020833333333338","100","Hobbyist","Mars-A","Mars-A","2815210","https://store.steampowered.com/app/2815210"
"JUMP WU","1711944000000","false","1","10.99","9","0","0","Hobbyist","blain","blain","2826770","https://store.steampowered.com/app/2826770"
"FunPlay School","1708923600000","false","1","10.99","9","0","0","Hobbyist","VirtualFox Studio","VirtualFox Studio,VirtualFox Studio","2769370","https://store.steampowered.com/app/2769370"
"Light Box","1713240000000","false","1","10.99","9","0","0","Hobbyist","Loomabox","Loomabox","2807100","https://store.steampowered.com/app/2807100"
"A Zombie Tail","1709874000000","false","1","10.8","9","0","0","Hobbyist","Ground up studios","Ground up studios","2762250","https://store.steampowered.com/app/2762250"
"日本史年号グリッド","1717214400000","false","15","2.99","9","0.3304166666666666","100","Hobbyist","karaki_dev","karaki_dev","2782730","https://store.steampowered.com/app/2782730"
"Solitary mark","1710648000000","false","15","0.99","9","0","0","Hobbyist","挥挥手","挥挥手","2857870","https://store.steampowered.com/app/2857870"
"Kingdom of Arcana","1715832000000","false","1","10","9","0","0","Hobbyist","Slash Games","Slash Games","2854400","https://store.steampowered.com/app/2854400"
"RollTale","1712289600000","false","15","4.99","9","0.7945703744411292","0","Hobbyist","Y4KUT Games","Tolga Aksoy,Murat Aksoy","2883710","https://store.steampowered.com/app/2883710"
"Refactoro: Chaotic Farm","1715227200000","true","1","12.99","9","2.373480676829348","0","Hobbyist","Sandboxia","Sandboxia","2895030","https://store.steampowered.com/app/2895030"
"Bone Meal","1713499200000","true","1","10.99","9","0","0","Hobbyist","Rook Book Games","Rook Book Games","2888580","https://store.steampowered.com/app/2888580"
"Breed Kim Il-Sung","1717732800000","false","13","0.99","9","0.18200000000000002","100","Hobbyist","ProgenitorWorks","ProgenitorWorks","2915070","https://store.steampowered.com/app/2915070"
"Elfengard Hunter Slayer","1717041600000","true","1","10.99","9","1.1764932006944961","100","Hobbyist","One Man Studios","One Man Studios","2927860","https://store.steampowered.com/app/2927860"
"Invasion: Phoenix","1715918400000","true","1","10.99","9","0","0","Hobbyist","Millzen Studios","Millzen Studios","2952520","https://store.steampowered.com/app/2952520"
