"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"O.C.D. - On Completeness & Dissonance","1532059200000","false","25","0.99","11","0.7739187836041423","70","Hobbyist","Flat Voxel","Flat Voxel","887880","https://store.steampowered.com/app/887880"
"The Red Moon","1531800000000","true","15","1.99","11","0.9922505333818188","0","Hobbyist","Pink Cloud","Pink Cloud","880210","https://store.steampowered.com/app/880210"
"RockBuster","1531368000000","false","1","12.99","11","0","0","Hobbyist","Twisted Bit Inc.","Twisted Bit Inc.","698230","https://store.steampowered.com/app/698230"
"Simian Rising","1528862400000","true","1","12.99","11","0","0","Hobbyist","All Caps Industries","All Caps Industries","848400","https://store.steampowered.com/app/848400"
"Terror World","1525924800000","true","1","12.99","11","0","0","Hobbyist","GHSSJ","GHSSJ","848120","https://store.steampowered.com/app/848120"
"Bounty Hunter: Stampede","1522728000000","false","27","1.99","11","14.57665305894788","56","Hobbyist","Salsawi Games","Salsawi","827900","https://store.steampowered.com/app/827900"
"Cosmic Buddies Town","1515128400000","false","18","2.99","11","0.6004093520725834","25","Indie","Funbox Media Ltd,KISS ltd","Ghost Clusters,NYX Digital Ltd","747230","https://store.steampowered.com/app/747230"
"BREU: Shadow Hunt","1674795600000","false","1","12.99","11","0.9736263063064149","100","Hobbyist","Team Zeroth","Team Zeroth","2213890","https://store.steampowered.com/app/2213890"
"BrainAccelerator","1676350800000","true","1","12.99","11","1.4649161777736703","0","Hobbyist","ASTERIOS Co., Ltd.","ASTERIOS Co., Ltd.","1944130","https://store.steampowered.com/app/1944130"
"Entrepreneurial tycoon","1679630400000","false","1","9.99","11","1.1215810112738156","100","Hobbyist","泉州市兰梦网络科技中心（有限合伙）","泉州市兰梦网络科技中心（有限合伙）","2121740","https://store.steampowered.com/app/2121740"
"Car Delivery Man","1680580800000","false","17","0.99","11","3.3163000922757404","100","Hobbyist","Skulfio","Skulfio","2341300","https://store.steampowered.com/app/2341300"
"Electric Enigma VR","1681790400000","false","1","12.99","11","1.2583349030382622","100","Hobbyist","Alex VR","Alex VR","2381870","https://store.steampowered.com/app/2381870"
"Sync Adventure","1683777600000","false","15","0.99","11","1.808150922059819","100","Hobbyist","Niko Salocin","Niko Salocin","2404280","https://store.steampowered.com/app/2404280"
"Edegard: Puqq","1684641600000","false","1","12.99","11","0","0","Hobbyist","Wolfpit Games","Wolfpit Games","2370230","https://store.steampowered.com/app/2370230"
"Fox of the moon","1685764800000","false","1","12.99","11","0","0","Hobbyist","Capky Games","Doky,CapturedLeek27","2281100","https://store.steampowered.com/app/2281100"
"The Hunted Witch","1687492800000","false","1","8.99","11","2.0157257374766466","100","Hobbyist","Pineconedemon Studio","Pineconedemon Studio","2447010","https://store.steampowered.com/app/2447010"
"Murder Generation: Cream City Chaos","1688616000000","false","1","12.99","11","0","0","Hobbyist","Rumpus Dungeon Game Studio","Richard Altenbach","2481120","https://store.steampowered.com/app/2481120"
"IsoChess","1689566400000","false","1","12.99","11","0","0","Hobbyist","Bit Twiddle Games","Bit Twiddle Games","2271360","https://store.steampowered.com/app/2271360"
"Phantom Matrix","1690171200000","true","1","12.99","11","0","0","Hobbyist","CyberTail Games","CyberTail Games","803640","https://store.steampowered.com/app/803640"
"The Tarot Experience VR","1690516800000","false","1","12.99","11","0","0","Hobbyist","The Tarot Experience VR","The Tarot Experience VR","2397490","https://store.steampowered.com/app/2397490"
"Dickland: Racing","1690862400000","false","27","0.99","11","0.4561360891334309","64","Indie","Piece Of Voxel","Piece Of Voxel","2494680","https://store.steampowered.com/app/2494680"
"Office Waifu","1684123200000","false","13","0.99","11","0.18687499999999993","50","Hobbyist","Naked High","Naked High","2402980","https://store.steampowered.com/app/2402980"
"Revenguard","1692936000000","false","1","1.99","11","2.882509160835558","86","Indie","Galactic Games","Galactic Games","2418680","https://store.steampowered.com/app/2418680"
"Nubla 2","1726099200000","false","1","12.99","11","0","0","Indie","Gammera Nest","Gammera Nest","1610450","https://store.steampowered.com/app/1610450"
"Hard Hero","1694577600000","false","15","0.99","11","0","100","Hobbyist","DogGottenGame","DogGottenGame","1765860","https://store.steampowered.com/app/1765860"
"Esport Tactics","1712289600000","true","1","12.99","11","0","0","Hobbyist","2 Turn Studios","2 Turn Studios","1972980","https://store.steampowered.com/app/1972980"
"Murder On Space Station 52","1727222400000","false","1","14.99","11","4.372481184398713","100","Indie","Dionous Games","Made From Strings","1872780","https://store.steampowered.com/app/1872780"
"PIVERANTUM","1714536000000","false","1","12.99","11","0","0","Hobbyist","Laboriontech","Laboriontech Studio","2441620","https://store.steampowered.com/app/2441620"
"Rune Bender VR","1726790400000","false","1","12.99","11","0","100","Hobbyist","Nurogames","Nurogames","2387750","https://store.steampowered.com/app/2387750"
"Slime Experiments","1694577600000","false","15","0.99","11","2.339680975282849","100","Hobbyist","PlagenShiki","PlagenShiki","2560940","https://store.steampowered.com/app/2560940"
"Our Little Secret! Heart-Pounding Idol Sex! Forbidden Lessons with the Manager","1697083200000","false","1","13.99","11","1.0199584999064977","100","Indie","Tensei Games","Appetite","2585160","https://store.steampowered.com/app/2585160"
"HEARTS OF COLD - REDEMPTION","1711339200000","false","1","12.99","11","0","0","Hobbyist","Peter Coleman","Peter Coleman","2592320","https://store.steampowered.com/app/2592320"
"Evil Hunt - Evil never sleeps","1719792000000","true","1","12.99","11","3.915495320071698","100","Hobbyist","WUM Studios GbR","WUM Studios GbR","2619640","https://store.steampowered.com/app/2619640"
"Progres","1698465600000","false","1","12.99","11","0","0","Hobbyist","LK Avalon","LK Avalon","2635170","https://store.steampowered.com/app/2635170"
"Gem Galaxy","1699506000000","false","15","0.99","11","0","100","Hobbyist","Epidra2077","Epidra2077","2516610","https://store.steampowered.com/app/2516610"
"Splat Arena","1700542800000","false","11","1.99","11","1.1795196621071384","56","Hobbyist","StarSystemStudios","StarSystemStudios","2684200","https://store.steampowered.com/app/2684200"
"Giant Hornet","1711598400000","true","14","19.99","11","2.372084543701744","100","Hobbyist","OA GAME STUDIO","OA GAME STUDIO","2691450","https://store.steampowered.com/app/2691450"
"Four Hunters Survivor","1701838800000","false","18","0.99","11","0","50","Hobbyist","AC_GameDev","AC_GameDev","2681340","https://store.steampowered.com/app/2681340"
"Last Caveman","1702702800000","false","1","12.99","11","0","0","Indie","magnussoft","magnussoft","2719270","https://store.steampowered.com/app/2719270"
"導白のルセン2 -いつか、きみが大人になっても-","1705294800000","false","1","12.99","11","0","0","Hobbyist","Tily","Tily","2724350","https://store.steampowered.com/app/2724350"
"Falnarion Tactics III","1703480400000","false","1","12.99","11","0","0","Indie","Team Syukino","Team Syukino","2683250","https://store.steampowered.com/app/2683250"
"Connect LegendofAutumn","1703739600000","false","1","12.99","11","0","0","Hobbyist","NarrativeArea","NarrativeArea","2371720","https://store.steampowered.com/app/2371720"
"Flip Flop","1704517200000","false","15","0.99","11","0","0","Hobbyist","AutumnTower Studio","AutumnTower Studio","2742740","https://store.steampowered.com/app/2742740"
"Chompania","1704517200000","false","11","1.99","11","1.3125026598994463","100","Hobbyist","Pink Tail","Pink Tail","2734020","https://store.steampowered.com/app/2734020"
"Strange Survivors","1705381200000","false","7","2.99","11","0.4387228252304008","75","Hobbyist","Guo Zilong","Guo Zilong","2631710","https://store.steampowered.com/app/2631710"
"Lost Princess: City","1705640400000","false","13","0.99","11","0.5500192413372067","75","Indie","Tero Lunkka","Tero Lunkka,Mixtor","2765350","https://store.steampowered.com/app/2765350"
"Tale of the Seas","1706245200000","false","1","12.99","11","0","0","Hobbyist","the Seas","the Seas","2782460","https://store.steampowered.com/app/2782460"
"Steel Manticore","1708232400000","false","1","12.99","11","0","0","Hobbyist","Team Boston","Team Boston","2196810","https://store.steampowered.com/app/2196810"
"Enemy Inside","1727136000000","true","1","12.99","11","0","0","Hobbyist","Six Ways Games","Six Ways Games","2779380","https://store.steampowered.com/app/2779380"
"Hentai Witch","1709701200000","false","18","0.99","11","0","50","Hobbyist","WitchGames","WitchGames","2400730","https://store.steampowered.com/app/2400730"
