"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Fill and Cross Royal Riddles","1605398400000","1600401600000","false","144","4.99","73","3.6924459334658555","13","Indie","8floor","Creobit","1396020","https://store.steampowered.com/app/1396020"
"3d Maze In Space","1590638400000","","false","105","0.99","73","0.17983333333333332","60","Hobbyist","Ivan Pichugin","Ivan Pichugin","1315900","https://store.steampowered.com/app/1315900"
"PiLKO","1588305600000","","false","120","0.99","73","3.4773607567247597","69","Hobbyist","Holystep Games","Holystep Games","1287420","https://store.steampowered.com/app/1287420"
"Abst Clicker Farm","1581397200000","","false","182","1.99","73","0.8966747806159907","6","Hobbyist","cBlck","cBlck","1235480","https://store.steampowered.com/app/1235480"
"Smart Girl : Christmas","1580619600000","","false","90","0.99","73","0.20583333333333323","50","Hobbyist","Smart Party","Smart Party","1189040","https://store.steampowered.com/app/1189040"
"Shuttlecock-H: Covered Rematch","1580601600000","1568088000000","false","75","1.99","73","1.1372549326344186","67","Indie","Inlet Pipe Productions","Inlet Pipe Productions","1140350","https://store.steampowered.com/app/1140350"
"Fiery catacombs","1567310400000","","false","72","0.99","73","0.8197853352085761","20","Indie","Conglomerate 5","Metamorpho_SG","1138150","https://store.steampowered.com/app/1138150"
"Kingdom-Heroes","1561176000000","1693595670000","false","84","0.99","73","0.7701149051772302","50","Hobbyist","InfinityMr","InfinityMr","1013000","https://store.steampowered.com/app/1013000"
"Gun Man","1556251200000","","false","50","0.99","73","0.9177937930913365","44","Hobbyist","kessels game studio","kessels game studio","1023650","https://store.steampowered.com/app/1023650"
"Dodge This!","1551070800000","","false","145","0.99","73","0.4867296365012656","38","Indie","HaDe Games","HaDe Games","1032260","https://store.steampowered.com/app/1032260"
"Achievement Collector: Dog","1575158400000","1548392400000","false","104","0.99","73","24.285836535698813","22","Hobbyist","QUIKIN Games","QUIKIN Games","1008370","https://store.steampowered.com/app/1008370"
"Comit in Cosmo Knight's Revenge","1588291200000","1546923600000","false","72","0.99","73","1.3418300043620877","50","Indie","LunarCore Games","LunarCore Games","981050","https://store.steampowered.com/app/981050"
