"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"Mononc's Adventures","1724976000000","false","1","13.99","12","0","0","Hobbyist","Mononc Studio","Mononc Pirate","3155030","https://store.steampowered.com/app/3155030",""
"Sweet Hot Spring","1726704000000","false","15","0.99","12","0","0","Hobbyist","King Kong Gaming","King Kong","3169150","https://store.steampowered.com/app/3169150",""
"Celestial Crown","1725494400000","true","1","13.99","12","0","0","Hobbyist","Team Celestial Games","Team Celestial Games","1217110","https://store.steampowered.com/app/1217110",""
"MOBA Dodge Trainer","1726963200000","false","7","1.99","12","0.42852472330805097","100","Hobbyist","ZHOU JIANCHENG","ZHOU JIANCHENG","3170880","https://store.steampowered.com/app/3170880",""
"Cursed Fables: Before the Clock Strikes Collector's Edition","1727049600000","false","1","13.99","12","0","0","Indie","Big Fish Games","Elephant AR","3233220","https://store.steampowered.com/app/3233220",""
"The Hidden Object Guru","1671685200000","false","18","0.99","11","0","50","Indie","Archor Games,HOGuru Games!","Archor Wright,HOGuru Games!","2241790","https://store.steampowered.com/app/2241790",""
"Al-Ankabut","1666843200000","false","1","12.99","11","0","0","Hobbyist","Sabarts Studios","Sabarts Studios","1714500","https://store.steampowered.com/app/1714500",""
"Versus.","1663905600000","true","1","12.99","11","1.9342911863286614","44","Hobbyist","Cravex Games","Cravex Games","1980440","https://store.steampowered.com/app/1980440",""
"ファントムゾーン・タロン・フィクションズ　phantom Zone Talon Fictions","1660104000000","false","1","12.99","11","0","0","Hobbyist","ケイエル","ファントムゾーン観測室,ケイエル","1874080","https://store.steampowered.com/app/1874080",""
"Reconcile with cats [Cat + Tank + Ningen = RogueLike]","1658808000000","true","1","12.99","11","0","0","Hobbyist","BUNRIN Works","BUNRIN Works","2008260","https://store.steampowered.com/app/2008260",""
"theBootCamp","1650168000000","true","1","12.99","11","0","0","Hobbyist","LuckyGene Games","Neama Kazemi","1941430","https://store.steampowered.com/app/1941430",""
"NeonHAT","1646283600000","false","1","12.99","11","0.5622669850042186","80","Hobbyist","Entalto Studios","Entalto Studios","1908640","https://store.steampowered.com/app/1908640",""
"Pandas Bridge","1643864400000","false","1","12.99","11","0","0","Hobbyist","Invision Technologies","Invision Technologies","1840810","https://store.steampowered.com/app/1840810",""
"The Ball Flow - First Approach","1637816400000","false","15","1.99","11","0","100","Hobbyist","Morning Bird Studio","Morning Bird StudioCDN","1789380","https://store.steampowered.com/app/1789380",""
"Proto Shooter Lychee","1635480000000","false","1","12.99","11","0.3707684030501967","40","Hobbyist","STWM","STWM","1779680","https://store.steampowered.com/app/1779680",""
"Cards Matching Memory Game","1669248000000","false","30","1.99","11","5.003955813010434","100","Indie","Boogygames Studios","Boogygames Studios","1766180","https://store.steampowered.com/app/1766180","1633492800000"
"The Outbreak","1632974400000","false","1","12.99","11","0","0","Hobbyist","CryTechGames,CryneX","CryneX","1089690","https://store.steampowered.com/app/1089690",""
"Ayoub Episode 1","1638316800000","false","1","12.99","11","3.0475374516079503","100","Hobbyist","سار الترفيهية","سار الترفيهية","1687070","https://store.steampowered.com/app/1687070","1632283200000"
"Ball Bounce Maze","1631678400000","false","15","0.99","11","0.7831029821136907","100","Hobbyist","Ball Bounce Partnership","Ball Bounce Partnership","1021230","https://store.steampowered.com/app/1021230",""
"Battle Arena Soccer","1631332800000","false","15","0.99","11","0","100","Hobbyist","Tuga Studios","Tuga Studios","1711290","https://store.steampowered.com/app/1711290",""
"The Thief Girl ~ 盗賊少女 ~","1629086400000","false","1","12.99","11","0.9268900866414815","100","Hobbyist","PIT-Creation","PIT-Creation","1533770","https://store.steampowered.com/app/1533770",""
"Balls out of Control","1626408000000","false","15","0.99","11","0","0","Hobbyist","Juan Daniel González Alcobre","Juan Daniel González Alcobre","1679270","https://store.steampowered.com/app/1679270",""
"Rainbow Fuego","1626321600000","false","15","0.99","11","0","0","Hobbyist","Jonathan Harvey","Jonathan Harvey","1670250","https://store.steampowered.com/app/1670250",""
"Genetic Fluff","1625803200000","true","1","12.99","11","0","0","Hobbyist","Growing Brains LLC","Growing Brains LLC","1403270","https://store.steampowered.com/app/1403270",""
"Bullet Shot","1622174400000","true","1","12.99","11","0","0","Hobbyist","Gamequad","Gamequad","1488440","https://store.steampowered.com/app/1488440",""
