AppID;GenresId
10;1
30;1
40;1
50;1
60;1
70;1
220;1
240;1
300;1
320;1
340;1
360;1
380;1
400;1
500;1
620;1
630;1
1200;1
1250;1
1300;1
2100;1
2200;1
2210;1
2270;1
2270;1
2280;1
2310;1
2320;1
2360;1
2370;1
2390;1
2400;1
2420;1
2450;1
2500;1
2590;1
2600;1
2610;1
2620;1
2640;1
2710;1
2720;1
2820;1
2870;1
3020;1
3270;1
3620;1
3700;1
3710;1
3730;1
3800;1
3810;1
3820;1
3830;1
4300;1
4500;1
4520;1
4560;1
4720;1
4920;1
6000;1
6020;1
6030;1
6060;1
6080;1
6090;1
6220;1
6250;1
6310;1
6370;1
6400;1
6800;1
6810;1
6840;1
6850;1
6870;1
6900;1
6900;1
6910;1
6980;1
7000;1
7010;1
7020;1
7510;1
7670;1
7800;1
7860;1
7940;1
8000;1
8080;1
8100;1
8140;1
8170;1
8190;1
8850;1
9010;1
9060;1
9180;1
9200;1
9340;1
9460;1
9480;1
9500;1
9710;1
9760;1
9800;1
9800;1
9940;1
9970;1
10090;1
10120;1
10130;1
10150;1
10180;1
10220;1
10460;1
10680;1
11200;1
11240;1
11280;1
11340;1
11390;1
11550;1
12140;1
12150;1
12180;1
12200;1
12220;1
12320;1
12330;1
12390;1
12530;1
12790;1
12830;1
13520;1
13530;1
13560;1
13570;1
13580;1
13600;1
13620;1
13630;1
15000;1
15080;1
15100;1
15120;1
15190;1
15270;1
15300;1
15390;1
15520;1
15560;1
15740;1
16450;1
16710;1
16720;1
16730;1
16900;1
17390;1
17410;1
17460;1
17470;1
17500;1
17570;1
17580;1
17710;1
17740;1
18040;1
18050;1
18070;1
18120;1
18700;1
18820;1
19080;1
19200;1
19320;1
19680;1
19800;1
19810;1
19830;1
19900;1
19980;1
20500;1
20510;1
20530;1
20550;1
20700;1
20710;1
20820;1
20900;1
21000;1
21010;1
21030;1
21090;1
21100;1
21130;1
21660;1
21680;1
21690;1
21980;1
22120;1
22180;1
22200;1
22230;1
22310;1
22350;1
22380;1
22450;1
22610;1
22650;1
22670;1
23460;1
24200;1
24240;1
24720;1
24880;1
25000;1
25010;1
25700;1
26000;1
26300;1
27920;1
27940;1
28000;1
29700;1
29800;1
31270;1
31300;1
31700;1
31890;1
32200;1
32330;1
32350;1
32390;1
32400;1
32430;1
32500;1
32510;1
32610;1
32620;1
32630;1
32650;1
32660;1
32680;1
32750;1
33100;1
